# Time, EZP, cathode/plus unc, anode/minus unc, RMSE 
#  s,1,1,1,1
4.915070000000000050e+02,4.699999999999999734e-01,1.000000000000000056e-01,5.999999999999999778e-02,2.243819999999999842e-02
8.799569999999999936e+02,4.799999999999999822e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.167370000000000060e-02
1.268400000000000091e+03,4.799999999999999822e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.115150000000000016e-02
1.657549999999999955e+03,4.899999999999999911e-01,1.000000000000000056e-01,5.999999999999999778e-02,2.121469999999999953e-02
2.046019999999999982e+03,4.899999999999999911e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.098109999999999906e-02
2.434769999999999982e+03,5.000000000000000000e-01,1.000000000000000056e-01,7.000000000000000666e-02,2.065859999999999919e-02
2.823219999999999800e+03,5.000000000000000000e-01,1.000000000000000056e-01,5.999999999999999778e-02,2.042949999999999974e-02
3.212239999999999782e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.052059999999999995e-02
3.600789999999999964e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.032739999999999894e-02
3.989309999999999945e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.029069999999999832e-02
4.062300000000000182e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.019989999999999980e-02
4.362680000000000291e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.023700000000000152e-02
4.662979999999999563e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.011829999999999868e-02
4.963300000000000182e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,2.004490000000000091e-02
5.263460000000000036e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,1.995339999999999961e-02
5.563819999999999709e+03,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,2.000120000000000023e-02
5.864119999999999891e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,1.994939999999999908e-02
6.164470000000000255e+03,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,2.004610000000000072e-02
6.464859999999999673e+03,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,1.987070000000000156e-02
6.765319999999999709e+03,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,1.988619999999999971e-02
7.065649999999999636e+03,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,1.980470000000000147e-02
7.365970000000000255e+03,5.100000000000000089e-01,1.000000000000000056e-01,5.999999999999999778e-02,1.981399999999999828e-02
7.666310000000000400e+03,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,1.974580000000000085e-02
7.966630000000000109e+03,5.100000000000000089e-01,1.000000000000000056e-01,5.999999999999999778e-02,1.970639999999999892e-02
8.266979999999999563e+03,5.100000000000000089e-01,1.000000000000000056e-01,5.999999999999999778e-02,1.976069999999999910e-02
8.569430000000000291e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,1.966959999999999889e-02
8.867750000000000000e+03,5.100000000000000089e-01,1.000000000000000056e-01,5.999999999999999778e-02,1.960720000000000171e-02
9.168100000000000364e+03,5.100000000000000089e-01,1.000000000000000056e-01,5.999999999999999778e-02,1.965269999999999864e-02
9.469170000000000073e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,1.969399999999999970e-02
9.768440000000000509e+03,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,1.956489999999999965e-02
1.006879999999999927e+04,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,1.950350000000000000e-02
1.036920000000000073e+04,5.000000000000000000e-01,1.100000000000000006e-01,5.999999999999999778e-02,1.964580000000000146e-02
1.066950000000000000e+04,5.100000000000000089e-01,1.000000000000000056e-01,7.000000000000000666e-02,1.948880000000000057e-02
