# Time, GEG,  Standard error CEG/d_AM, RMSE 
#  s,1,1,1
1.365297222222222329e-01,4.799999999999999822e-01,2.328550999999999885e-02,1.296337989790015932e+01
2.444324999999999970e-01,4.899999999999999911e-01,2.271723999999999966e-02,1.315557979841705993e+01
3.523333333333333317e-01,4.899999999999999911e-01,2.213715000000000127e-02,1.251175476057763447e+01
4.604305555555555651e-01,4.899999999999999911e-01,2.197719999999999882e-02,1.196317852495812595e+01
5.683388888888888379e-01,5.000000000000000000e-01,2.179992000000000041e-02,1.293621558366923452e+01
6.763249999999999540e-01,5.000000000000000000e-01,2.154711999999999947e-02,1.255601433743781570e+01
7.842277777777777459e-01,5.000000000000000000e-01,2.161280999999999966e-02,1.215751989196175487e+01
8.922888888888887982e-01,5.100000000000000089e-01,2.145410000000000025e-02,1.338536955176379628e+01
1.000219444444444328e+00,5.100000000000000089e-01,2.133271999999999946e-02,1.332293892731836848e+01
1.108141666666666580e+00,5.100000000000000089e-01,2.133267000000000149e-02,1.309167166967467999e+01
1.128416666666666623e+00,5.100000000000000089e-01,2.122672000000000100e-02,1.327482055602962241e+01
1.211855555555555686e+00,5.100000000000000089e-01,2.108975999999999906e-02,1.320546988007009936e+01
1.295272222222222158e+00,5.100000000000000089e-01,2.106633000000000117e-02,1.289165876877494554e+01
1.378694444444444445e+00,5.100000000000000089e-01,2.106312000000000115e-02,1.289044804841510405e+01
1.462072222222222218e+00,5.100000000000000089e-01,2.103251000000000079e-02,1.269206200574878096e+01
1.545505555555555466e+00,5.100000000000000089e-01,2.103818999999999828e-02,1.278098605941621457e+01
1.628922222222222160e+00,5.100000000000000089e-01,2.102187999999999973e-02,1.260333890930410661e+01
1.712352777777777835e+00,5.100000000000000089e-01,2.100522000000000153e-02,1.255014342586635578e+01
1.795794444444444249e+00,5.100000000000000089e-01,2.091200000000000003e-02,1.249868303780689871e+01
1.879255555555555457e+00,5.100000000000000089e-01,2.081683999999999965e-02,1.234181519451264641e+01
1.962680555555555539e+00,5.100000000000000089e-01,2.091567999999999899e-02,1.231163262148534976e+01
2.046102777777778048e+00,5.100000000000000089e-01,2.087169999999999997e-02,1.224293707037870149e+01
2.129530555555555704e+00,5.100000000000000089e-01,2.074037000000000103e-02,1.206082135185400617e+01
2.212952777777777769e+00,5.100000000000000089e-01,2.063032000000000060e-02,1.217158792111118615e+01
2.296383333333332999e+00,5.100000000000000089e-01,2.073362000000000122e-02,1.223664169592048445e+01
2.380397222222222275e+00,5.100000000000000089e-01,2.061237999999999959e-02,1.226920357159703734e+01
2.463263888888888697e+00,5.100000000000000089e-01,2.063983000000000137e-02,1.220984984726939970e+01
2.546694444444444372e+00,5.100000000000000089e-01,2.066816999999999960e-02,1.201816772064185201e+01
2.630325000000000024e+00,5.100000000000000089e-01,2.061216000000000090e-02,1.224731332110505377e+01
2.713455555555555510e+00,5.100000000000000089e-01,2.071432999999999955e-02,1.224004432462035474e+01
2.796888888888888758e+00,5.100000000000000089e-01,2.057936999999999961e-02,1.256588318855764186e+01
2.880333333333333634e+00,5.100000000000000089e-01,2.052858000000000113e-02,1.223341151380025060e+01
2.963750000000000107e+00,5.100000000000000089e-01,2.051466999999999874e-02,1.235606697842925072e+01
