# Python obtained correction file for Flame1, contains the irradiance calibration
# LS-1-CAL
# Wavelength(nm)	Corr.Factor
192.3457	-0.000000e+00
192.8152	0.000000e+00
193.2845	0.000000e+00
193.7539	0.000000e+00
194.2231	0.000000e+00
194.6924	0.000000e+00
195.1616	0.000000e+00
195.6307	1.340389e+00
196.0998	1.205924e+00
196.5688	1.108560e+00
197.0378	1.037883e+00
197.5068	9.932127e-01
197.9757	9.758808e-01
198.4445	9.884326e-01
198.9133	1.016591e+00
199.3821	1.015894e+00
199.8508	1.020996e+00
200.3194	1.031075e+00
200.7881	1.050308e+00
201.2566	1.073524e+00
201.7251	1.101900e+00
202.1936	1.139418e+00
202.6620	1.181390e+00
203.1304	1.219582e+00
203.5987	1.242346e+00
204.0670	1.256035e+00
204.5352	1.259570e+00
205.0033	1.250439e+00
205.4715	1.239102e+00
205.9395	1.234377e+00
206.4076	1.223906e+00
206.8756	1.196006e+00
207.3435	1.177560e+00
207.8114	1.155301e+00
208.2792	1.123767e+00
208.7470	1.092971e+00
209.2147	1.063397e+00
209.6824	1.042573e+00
210.1500	1.025024e+00
210.6176	9.967971e-01
211.0852	9.732071e-01
211.5527	9.544015e-01
212.0201	9.362359e-01
212.4875	9.191470e-01
212.9549	8.997323e-01
213.4222	8.851063e-01
213.8894	8.731266e-01
214.3566	8.547584e-01
214.8238	8.408887e-01
215.2909	8.250521e-01
215.7579	8.107907e-01
216.2249	7.936038e-01
216.6919	7.849584e-01
217.1588	7.634066e-01
217.6257	7.342738e-01
218.0925	7.191403e-01
218.5592	7.057003e-01
219.0260	6.888382e-01
219.4926	6.780490e-01
219.9592	6.703747e-01
220.4258	6.646996e-01
220.8923	6.583736e-01
221.3588	6.522706e-01
221.8252	6.480053e-01
222.2916	6.409454e-01
222.7579	6.325854e-01
223.2242	6.222083e-01
223.6904	6.134377e-01
224.1566	6.102821e-01
224.6227	6.059803e-01
225.0888	6.004682e-01
225.5548	5.887884e-01
226.0208	5.784290e-01
226.4868	5.644881e-01
226.9526	5.528316e-01
227.4185	5.490998e-01
227.8843	5.421527e-01
228.3500	5.339029e-01
228.8157	5.256193e-01
229.2813	5.174358e-01
229.7469	5.095284e-01
230.2125	5.009852e-01
230.6780	4.927273e-01
231.1434	4.875148e-01
231.6088	4.794082e-01
232.0742	4.697245e-01
232.5395	4.634888e-01
233.0047	4.595570e-01
233.4699	4.501398e-01
233.9351	4.426809e-01
234.4002	4.369325e-01
234.8652	4.306406e-01
235.3302	4.248814e-01
235.7952	4.172268e-01
236.2601	4.126266e-01
236.7249	4.093882e-01
237.1897	4.070068e-01
237.6545	4.041931e-01
238.1192	4.000835e-01
238.5839	3.961904e-01
239.0485	3.935049e-01
239.5130	3.905860e-01
239.9776	3.844106e-01
240.4420	3.773808e-01
240.9064	3.716552e-01
241.3708	3.666452e-01
241.8351	3.609631e-01
242.2994	3.552329e-01
242.7636	3.493269e-01
243.2278	3.459423e-01
243.6919	3.417819e-01
244.1560	3.367647e-01
244.6200	3.364463e-01
245.0839	3.393021e-01
245.5479	3.387629e-01
246.0117	3.374080e-01
246.4756	3.398931e-01
246.9393	3.407308e-01
247.4031	3.404491e-01
247.8667	3.381515e-01
248.3304	3.344192e-01
