# Python obtained correction file for Flame1, contains the irradiance calibration
# LS-1-CAL
# Wavelength(nm)	Corr.Factor
192.3457	-0.000000e+00
192.8152	0.000000e+00
193.2845	0.000000e+00
193.7539	0.000000e+00
194.2231	0.000000e+00
194.6924	0.000000e+00
195.1616	0.000000e+00
195.6307	1.151428e+00
196.0998	1.034450e+00
196.5688	9.498797e-01
197.0378	8.885275e-01
197.5068	8.475751e-01
197.9757	8.315786e-01
198.4445	8.394706e-01
198.9133	8.623320e-01
199.3821	8.610128e-01
199.8508	8.638743e-01
200.3194	8.734887e-01
200.7881	8.906170e-01
201.2566	9.126506e-01
201.7251	9.432571e-01
202.1936	9.777489e-01
202.6620	1.017921e+00
203.1304	1.056879e+00
203.5987	1.084123e+00
204.0670	1.101492e+00
204.5352	1.108966e+00
205.0033	1.101402e+00
205.4715	1.095704e+00
205.9395	1.094524e+00
206.4076	1.087677e+00
206.8756	1.074896e+00
207.3435	1.060203e+00
207.8114	1.043955e+00
208.2792	1.016807e+00
208.7470	9.875642e-01
209.2147	9.600588e-01
209.6824	9.417246e-01
210.1500	9.237164e-01
210.6176	8.993684e-01
211.0852	8.775201e-01
211.5527	8.567091e-01
212.0201	8.423280e-01
212.4875	8.270725e-01
212.9549	8.084963e-01
213.4222	7.946312e-01
213.8894	7.837686e-01
214.3566	7.677810e-01
214.8238	7.556740e-01
215.2909	7.451044e-01
215.7579	7.316848e-01
216.2249	7.201818e-01
216.6919	7.097176e-01
217.1588	6.923551e-01
217.6257	6.665794e-01
218.0925	6.538868e-01
218.5592	6.433988e-01
219.0260	6.273494e-01
219.4926	6.146440e-01
219.9592	6.086274e-01
220.4258	6.037251e-01
220.8923	5.963398e-01
221.3588	5.897798e-01
221.8252	5.836208e-01
222.2916	5.758599e-01
222.7579	5.683251e-01
223.2242	5.595034e-01
223.6904	5.528707e-01
224.1566	5.509028e-01
224.6227	5.492473e-01
225.0888	5.438476e-01
225.5548	5.353396e-01
226.0208	5.253813e-01
226.4868	5.143699e-01
226.9526	5.051113e-01
227.4185	5.018624e-01
227.8843	4.975090e-01
228.3500	4.888082e-01
228.8157	4.803913e-01
229.2813	4.730986e-01
229.7469	4.643902e-01
230.2125	4.544753e-01
230.6780	4.459628e-01
231.1434	4.402566e-01
231.6088	4.341906e-01
232.0742	4.266668e-01
232.5395	4.225169e-01
233.0047	4.190504e-01
233.4699	4.109086e-01
233.9351	4.040610e-01
234.4002	3.988622e-01
234.8652	3.926027e-01
235.3302	3.864555e-01
235.7952	3.809295e-01
236.2601	3.766033e-01
236.7249	3.744085e-01
237.1897	3.735978e-01
237.6545	3.701641e-01
238.1192	3.655174e-01
238.5839	3.619744e-01
239.0485	3.596781e-01
239.5130	3.575898e-01
239.9776	3.537269e-01
240.4420	3.473145e-01
240.9064	3.428024e-01
241.3708	3.386032e-01
241.8351	3.326706e-01
242.2994	3.275947e-01
242.7636	3.217034e-01
243.2278	3.183353e-01
243.6919	3.157628e-01
244.1560	3.104319e-01
244.6200	3.093952e-01
245.0839	3.126845e-01
245.5479	3.123112e-01
246.0117	3.110777e-01
246.4756	3.142152e-01
246.9393	3.151970e-01
247.4031	3.139704e-01
247.8667	3.116321e-01
248.3304	3.093141e-01
