# Python obtained correction file for Flame1, contains the irradiance calibration
# LS-1-CAL
# Wavelength(nm)	Corr.Factor
192.3457	-0.000000e+00
192.8152	0.000000e+00
193.2845	0.000000e+00
193.7539	0.000000e+00
194.2231	0.000000e+00
194.6924	0.000000e+00
195.1616	0.000000e+00
195.6307	1.340073e+00
196.0998	1.201729e+00
196.5688	1.102088e+00
197.0378	1.030026e+00
197.5068	9.804094e-01
197.9757	9.601361e-01
198.4445	9.667155e-01
198.9133	9.913295e-01
199.3821	9.945253e-01
199.8508	1.003756e+00
200.3194	1.020162e+00
200.7881	1.044264e+00
201.2566	1.080359e+00
201.7251	1.123968e+00
202.1936	1.181210e+00
202.6620	1.241739e+00
203.1304	1.309037e+00
203.5987	1.360180e+00
204.0670	1.395636e+00
204.5352	1.416672e+00
205.0033	1.416200e+00
205.4715	1.415311e+00
205.9395	1.414041e+00
206.4076	1.404579e+00
206.8756	1.378848e+00
207.3435	1.362595e+00
207.8114	1.336218e+00
208.2792	1.298946e+00
208.7470	1.260710e+00
209.2147	1.223283e+00
209.6824	1.193940e+00
210.1500	1.169936e+00
210.6176	1.138092e+00
211.0852	1.109778e+00
211.5527	1.090125e+00
212.0201	1.066383e+00
212.4875	1.050242e+00
212.9549	1.028194e+00
213.4222	1.010902e+00
213.8894	1.000208e+00
214.3566	9.843304e-01
214.8238	9.688778e-01
215.2909	9.548102e-01
215.7579	9.403914e-01
216.2249	9.281075e-01
216.6919	9.215240e-01
217.1588	8.996810e-01
217.6257	8.691880e-01
218.0925	8.507068e-01
218.5592	8.310901e-01
219.0260	8.115494e-01
219.4926	7.967831e-01
219.9592	7.865962e-01
220.4258	7.790211e-01
220.8923	7.648037e-01
221.3588	7.533006e-01
221.8252	7.444124e-01
222.2916	7.360504e-01
222.7579	7.289637e-01
223.2242	7.209990e-01
223.6904	7.174473e-01
224.1566	7.168337e-01
224.6227	7.158020e-01
225.0888	7.114759e-01
225.5548	7.037389e-01
226.0208	6.939544e-01
226.4868	6.752228e-01
226.9526	6.584713e-01
227.4185	6.512820e-01
227.8843	6.425755e-01
228.3500	6.337907e-01
228.8157	6.173326e-01
229.2813	6.026575e-01
229.7469	5.917960e-01
230.2125	5.790165e-01
230.6780	5.700360e-01
231.1434	5.613343e-01
231.6088	5.570411e-01
232.0742	5.488522e-01
232.5395	5.424611e-01
233.0047	5.376080e-01
233.4699	5.273814e-01
233.9351	5.179566e-01
234.4002	5.119758e-01
234.8652	5.048510e-01
235.3302	4.940675e-01
235.7952	4.863450e-01
236.2601	4.820645e-01
236.7249	4.778337e-01
237.1897	4.740824e-01
237.6545	4.728858e-01
238.1192	4.664950e-01
238.5839	4.655453e-01
239.0485	4.651788e-01
239.5130	4.633174e-01
239.9776	4.576583e-01
240.4420	4.486149e-01
240.9064	4.428800e-01
241.3708	4.385204e-01
241.8351	4.310062e-01
242.2994	4.220075e-01
242.7636	4.149182e-01
243.2278	4.082748e-01
243.6919	4.036318e-01
244.1560	3.963206e-01
244.6200	3.938200e-01
245.0839	3.976900e-01
245.5479	3.960514e-01
246.0117	3.914946e-01
246.4756	3.951132e-01
246.9393	4.005861e-01
247.4031	4.011083e-01
247.8667	4.019207e-01
248.3304	3.963029e-01
