# Python obtained correction file for 260413_Flame1_lamp-LS-1-CAL_OrangeFiber+425nm+polarizer_p-pol.txt, contains the irradiance calibration
# LS-1-CAL, LPVISE100, FELH425 nm
# Wavelength(nm)	Corr.Factor
192.3457	0.000000e+00
192.8152	0.000000e+00
193.2845	0.000000e+00
193.7539	0.000000e+00
194.2231	0.000000e+00
194.6924	0.000000e+00
195.1616	0.000000e+00
195.6307	0.000000e+00
196.0998	0.000000e+00
196.5688	0.000000e+00
197.0378	0.000000e+00
197.5068	0.000000e+00
197.9757	0.000000e+00
198.4445	0.000000e+00
198.9133	0.000000e+00
199.3821	0.000000e+00
199.8508	0.000000e+00
200.3194	0.000000e+00
200.7881	0.000000e+00
201.2566	0.000000e+00
201.7251	0.000000e+00
202.1936	0.000000e+00
202.6620	0.000000e+00
203.1304	0.000000e+00
203.5987	0.000000e+00
204.0670	0.000000e+00
204.5352	0.000000e+00
205.0033	0.000000e+00
205.4715	0.000000e+00
205.9395	0.000000e+00
206.4076	0.000000e+00
206.8756	0.000000e+00
207.3435	0.000000e+00
207.8114	0.000000e+00
208.2792	0.000000e+00
208.7470	0.000000e+00
209.2147	0.000000e+00
209.6824	0.000000e+00
210.1500	0.000000e+00
210.6176	0.000000e+00
211.0852	0.000000e+00
211.5527	0.000000e+00
212.0201	0.000000e+00
212.4875	0.000000e+00
212.9549	0.000000e+00
213.4222	0.000000e+00
213.8894	0.000000e+00
214.3566	0.000000e+00
214.8238	0.000000e+00
215.2909	0.000000e+00
215.7579	0.000000e+00
216.2249	0.000000e+00
216.6919	0.000000e+00
217.1588	0.000000e+00
217.6257	0.000000e+00
218.0925	0.000000e+00
218.5592	0.000000e+00
219.0260	0.000000e+00
219.4926	0.000000e+00
219.9592	0.000000e+00
220.4258	0.000000e+00
220.8923	0.000000e+00
221.3588	0.000000e+00
221.8252	0.000000e+00
222.2916	0.000000e+00
222.7579	0.000000e+00
223.2242	0.000000e+00
223.6904	0.000000e+00
224.1566	0.000000e+00
224.6227	0.000000e+00
225.0888	0.000000e+00
225.5548	0.000000e+00
226.0208	0.000000e+00
226.4868	0.000000e+00
226.9526	0.000000e+00
227.4185	0.000000e+00
227.8843	0.000000e+00
228.3500	0.000000e+00
228.8157	0.000000e+00
229.2813	0.000000e+00
229.7469	0.000000e+00
230.2125	0.000000e+00
230.6780	0.000000e+00
231.1434	0.000000e+00
231.6088	0.000000e+00
232.0742	0.000000e+00
232.5395	0.000000e+00
233.0047	0.000000e+00
233.4699	0.000000e+00
233.9351	0.000000e+00
234.4002	0.000000e+00
234.8652	0.000000e+00
235.3302	0.000000e+00
235.7952	0.000000e+00
236.2601	0.000000e+00
236.7249	0.000000e+00
237.1897	0.000000e+00
237.6545	0.000000e+00
238.1192	0.000000e+00
238.5839	0.000000e+00
239.0485	0.000000e+00
239.5130	0.000000e+00
239.9776	0.000000e+00
240.4420	0.000000e+00
240.9064	0.000000e+00
241.3708	0.000000e+00
241.8351	0.000000e+00
242.2994	0.000000e+00
242.7636	0.000000e+00
243.2278	0.000000e+00
243.6919	0.000000e+00
244.1560	0.000000e+00
244.6200	0.000000e+00
245.0839	0.000000e+00
245.5479	0.000000e+00
246.0117	0.000000e+00
246.4756	0.000000e+00
