# Python obtained correction file
#  T = 2850 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -1.313373895100392909e-02
1.961100000000000136e+02 9.249580268462984783e-03
1.965800000000000125e+02 3.850909395196010047e-03
1.970500000000000114e+02 2.616874596010376405e-03
1.975200000000000102e+02 2.088902008850162910e-03
1.979900000000000091e+02 1.810398574310445076e-03
1.984600000000000080e+02 1.650934784397977946e-03
1.989199999999999875e+02 1.558042725822056471e-03
1.993899999999999864e+02 1.511555773557329016e-03
1.998600000000000136e+02 1.498098230867855223e-03
2.003300000000000125e+02 1.511894454246257968e-03
2.008000000000000114e+02 1.556698706677427753e-03
2.012700000000000102e+02 1.641837395620815562e-03
2.017299999999999898e+02 1.783514605282209052e-03
2.021999999999999886e+02 1.977560416935264694e-03
2.026699999999999875e+02 2.145065593765820185e-03
2.031399999999999864e+02 2.338070527223724999e-03
2.036100000000000136e+02 2.581265501269057634e-03
2.040699999999999932e+02 2.878773554313437000e-03
2.045399999999999920e+02 3.244220798926656085e-03
2.050099999999999909e+02 3.685671161886644020e-03
2.054799999999999898e+02 4.183347437434301909e-03
2.059499999999999886e+02 4.733124537861964180e-03
2.064099999999999966e+02 5.301536927272522577e-03
2.068799999999999955e+02 5.843296135905466995e-03
2.073499999999999943e+02 6.343339743966411835e-03
2.078199999999999932e+02 6.859058825953228897e-03
2.082800000000000011e+02 7.389087215376580198e-03
2.087500000000000000e+02 7.945608479937181848e-03
2.092199999999999989e+02 8.515934153651283714e-03
2.096899999999999977e+02 9.007545756391364955e-03
2.101500000000000057e+02 9.483784528677294962e-03
2.106200000000000045e+02 9.916131922358033604e-03
2.110900000000000034e+02 1.040854156715866584e-02
2.115600000000000023e+02 1.086935987486631512e-02
2.120200000000000102e+02 1.134328697668238531e-02
2.124900000000000091e+02 1.183786449360164569e-02
2.129600000000000080e+02 1.246574754356470464e-02
2.134199999999999875e+02 1.307840465682807637e-02
2.138899999999999864e+02 1.366676930186468478e-02
2.143600000000000136e+02 1.427247272125294064e-02
2.148300000000000125e+02 1.484740689478291666e-02
2.152899999999999920e+02 1.542590075227827547e-02
2.157599999999999909e+02 1.612214681916747730e-02
2.162299999999999898e+02 1.682945830411261903e-02
2.166899999999999977e+02 1.746611279379678763e-02
2.171599999999999966e+02 1.827332528796814237e-02
2.176299999999999955e+02 1.897944376251267315e-02
2.180900000000000034e+02 1.967818925143116973e-02
2.185600000000000023e+02 2.038837297401995680e-02
2.190300000000000011e+02 2.116538129618651329e-02
2.194900000000000091e+02 2.211483158441701277e-02
2.199600000000000080e+02 2.294186638587285970e-02
2.204199999999999875e+02 2.380207888285095288e-02
2.208899999999999864e+02 2.461907843284267747e-02
2.213600000000000136e+02 2.576369720815050238e-02
