# CIE1988photopic
# Eye response table
# Wavelength(nm)	Factor
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0.000200000000000000
381	0.000228200000000000
382	0.000261100000000000
383	0.000299400000000000
384	0.000343900000000000
385	0.000395600000000000
386	0.000455400000000000
387	0.000524600000000000
388	0.000604300000000000
389	0.000695700000000000
390	0.000800000000000000
391	0.000916400000000000
392	0.00104770000000000
393	0.00119550000000000
394	0.00136110000000000
395	0.00154570000000000
396	0.00175080000000000
397	0.00187760000000000
398	0.00222730000000000
399	0.00250110000000000
400	0.00280000000000000
401	0.00311590000000000
402	0.00345760000000000
403	0.00382680000000000
404	0.00422560000000000
405	0.00465620000000000
406	0.00512160000000000
407	0.00562480000000000
408	0.00616950000000000
409	0.00675970000000000
410	0.00740000000000000
411	0.00814510000000000
412	0.00895550000000000
413	0.00983220000000000
414	0.0107740000000000
415	0.0117790000000000
416	0.0128420000000000
417	0.0139560000000000
418	0.0151110000000000
419	0.0162970000000000
420	0.0175000000000000
421	0.0185820000000000
422	0.0196450000000000
423	0.0206830000000000
424	0.0216940000000000
425	0.0226780000000000
426	0.0236360000000000
427	0.0245720000000000
428	0.0254900000000000
429	0.0263970000000000
430	0.0273000000000000
431	0.0283350000000000
432	0.0293830000000000
433	0.0304420000000000
434	0.0315100000000000
435	0.0325840000000000
436	0.0336610000000000
437	0.0347350000000000
438	0.0358030000000000
439	0.0368600000000000
440	0.0379000000000000
441	0.0388380000000000
442	0.0397520000000000
443	0.0406460000000000
444	0.0415240000000000
445	0.0423910000000000
446	0.0432520000000000
447	0.0441160000000000
448	0.0449900000000000
449	0.0458810000000000
450	0.0468000000000000
451	0.0477430000000000
452	0.0487330000000000
453	0.0497850000000000
454	0.0509100000000000
455	0.0521220000000000
456	0.0534350000000000
457	0.0548640000000000
458	0.0564240000000000
459	0.0581310000000000
460	0.0600000000000000
461	0.0626020000000000
462	0.0652775000000000
463	0.0680421000000000
464	0.0709111000000000
465	0.0739000000000000
466	0.0770160000000000
467	0.0802664000000000
468	0.0836668000000000
469	0.0872328000000000
470	0.0909800000000000
471	0.0949176000000000
472	0.0990458000000000
473	0.103367400000000
474	0.107884600000000
475	0.112600000000000
476	0.117532000000000
477	0.122674400000000
478	0.127992800000000
479	0.133452800000000
480	0.139020000000000
481	0.144676400000000
482	0.150469300000000
483	0.156461900000000
484	0.162717700000000
485	0.169300000000000
486	0.176243100000000
487	0.183558100000000
488	0.191273500000000
489	0.199418000000000
490	0.208020000000000
491	0.217119900000000
492	0.226734500000000
493	0.236857100000000
494	0.247481200000000
495	0.258600000000000
496	0.270184900000000
497	0.282293900000000
498	0.295050500000000
499	0.308578000000000
500	0.323000000000000
501	0.338402100000000
502	0.354685800000000
503	0.371698600000000
504	0.389287500000000
505	0.407300000000000
506	0.425629900000000
507	0.444309600000000
508	0.463394400000000
509	0.482939500000000
510	0.503000000000000
511	0.523569300000000
512	0.544512000000000
513	0.565690000000000
514	0.586965300000000
515	0.608200000000000
516	0.629345600000000
517	0.650306800000000
518	0.670875200000000
519	0.690842400000000
520	0.710000000000000
521	0.728185200000000
522	0.745463600000000
523	0.761969400000000
524	0.777836800000000
525	0.793200000000000
526	0.808110400000000
527	0.822496200000000
528	0.836306800000000
529	0.849491600000000
530	0.862000000000000
531	0.873810800000000
532	0.884962400000000
533	0.895493600000000
534	0.905443200000000
535	0.914850100000000
536	0.923734800000000
537	0.932092400000000
538	0.939922600000000
539	0.947225200000000
540	0.954000000000000
541	0.960256100000000
542	0.966007400000000
543	0.971260600000000
544	0.976022500000000
545	0.980300000000000
546	0.984092400000000
547	0.987418200000000
548	0.990312800000000
549	0.992811600000000
550	0.994950100000000
551	0.996710800000000
552	0.998098300000000
553	0.999112000000000
554	0.999748200000000
555	1
556	0.999856700000000
557	0.999304600000000
558	0.998325500000000
559	0.996898700000000
560	0.995000000000000
561	0.992600500000000
562	0.989742600000000
563	0.986444400000000
564	0.982724100000000
565	0.978600000000000
566	0.974083700000000
567	0.969171200000000
568	0.963856800000000
569	0.958134900000000
570	0.952000000000000
571	0.945450400000000
572	0.938499200000000
573	0.931162800000000
574	0.923457600000000
575	0.915400000000000
576	0.907006400000000
577	0.898277200000000
578	0.889204800000000
579	0.879781600000000
580	0.870000000000000
581	0.859861300000000
582	0.849392000000000
583	0.838622000000000
584	0.827581300000000
585	0.816300000000000
586	0.804794700000000
587	0.793082000000000
588	0.781192000000000
589	0.769154700000000
590	0.757000000000000
591	0.744754100000000
592	0.732422400000000
593	0.720003600000000
594	0.707496500000000
595	0.694900000000000
596	0.682219200000000
597	0.669471600000000
598	0.656674400000000
599	0.643844800000000
600	0.631000000000000
601	0.618155500000000
602	0.605314400000000
603	0.592475600000000
604	0.579637900000000
605	0.566800000000000
606	0.553961100000000
607	0.541137200000000
608	0.528352800000000
609	0.515632300000000
610	0.503000000000000
611	0.490468800000000
612	0.478030400000000
613	0.465677600000000
614	0.453403200000000
615	0.441200000000000
616	0.429080000000000
617	0.417036000000000
618	0.405032000000000
619	0.393032000000000
620	0.381000000000000
621	0.368918400000000
622	0.356827200000000
623	0.344776800000000
624	0.332817600000000
625	0.321000000000000
626	0.309338100000000
627	0.297850400000000
628	0.286593600000000
629	0.275624500000000
630	0.265000000000000
631	0.254763200000000
632	0.244889600000000
633	0.235334400000000
634	0.226052800000000
635	0.217000000000000
636	0.208161600000000
637	0.199548800000000
638	0.191155200000000
639	0.182974400000000
640	0.175000000000000
641	0.167223500000000
642	0.159646400000000
643	0.152277600000000
644	0.145125900000000
645	0.138200000000000
646	0.131500300000000
647	0.125024800000000
648	0.118779200000000
649	0.112769100000000
650	0.107000000000000
651	0.101476200000000
652	0.0961886000000000
653	0.0911230000000000
654	0.0862649000000000
655	0.0816000000000000
656	0.0771206000000000
657	0.0728255000000000
658	0.0687101000000000
659	0.0647698000000000
660	0.0610000000000000
661	0.0573962000000000
662	0.0539550000000000
663	0.0506738000000000
664	0.0475497000000000
665	0.0445800000000000
666	0.0417587000000000
667	0.0390850000000000
668	0.0365638000000000
669	0.0342005000000000
670	0.0320000000000000
671	0.0299626000000000
672	0.0280766000000000
673	0.0263294000000000
674	0.0247081000000000
675	0.0232000000000000
676	0.0218008000000000
677	0.0205011000000000
678	0.0192811000000000
679	0.0181207000000000
680	0.0170000000000000
681	0.0159038000000000
682	0.0148372000000000
683	0.0138107000000000
684	0.0128348000000000
685	0.0119200000000000
686	0.0110683000000000
687	0.0102734000000000
688	0.00953330000000000
689	0.00884620000000000
690	0.00821000000000000
691	0.00762380000000000
692	0.00708540000000000
693	0.00659150000000000
694	0.00613850000000000
695	0.00572300000000000
696	0.00534310000000000
697	0.00499580000000000
698	0.00467640000000000
699	0.00438010000000000
700	0.00410200000000000
701	0.00383850000000000
702	0.00358910000000000
703	0.00335420000000000
704	0.00313410000000000
705	0.00292900000000000
706	0.00273810000000000
707	0.00255990000000000
708	0.00239320000000000
709	0.00223730000000000
710	0.00209100000000000
711	0.00195360000000000
712	0.00182460000000000
713	0.00170360000000000
714	0.00159020000000000
715	0.00148400000000000
716	0.00138450000000000
717	0.00129130000000000
718	0.00120410000000000
719	0.00112270000000000
720	0.00104700000000000
721	0.000976600000000000
722	0.000911100000000000
723	0.000850100000000000
724	0.000793200000000000
725	0.000740000000000000
726	0.000690100000000000
727	0.000643300000000000
728	0.000599500000000000
729	0.000558500000000000
730	0.000520000000000000
731	0.000483900000000000
732	0.000450100000000000
733	0.000418300000000000
734	0.000388700000000000
735	0.000361100000000000
736	0.000335400000000000
737	0.000311400000000000
