# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -9.442997878960520536e-03
1.961100000000000136e+02 2.954255528002236106e-02
1.965800000000000125e+02 6.690152971248353002e-03
1.970500000000000114e+02 4.106307274472497694e-03
1.975200000000000102e+02 3.141366253093297225e-03
1.979900000000000091e+02 2.659611296065278723e-03
1.984600000000000080e+02 2.389915065642686867e-03
1.989199999999999875e+02 2.233157340583856627e-03
1.993899999999999864e+02 2.151395872299993045e-03
1.998600000000000136e+02 2.121713541317373202e-03
2.003300000000000125e+02 2.134045244935562063e-03
2.008000000000000114e+02 2.179502568734883235e-03
2.012700000000000102e+02 2.289728322336351176e-03
2.017299999999999898e+02 2.483868598427787545e-03
2.021999999999999886e+02 2.758475584053446481e-03
2.026699999999999875e+02 3.008018064684692822e-03
2.031399999999999864e+02 3.312926597734011918e-03
2.036100000000000136e+02 3.703085865248860898e-03
2.040699999999999932e+02 4.205798112640489993e-03
2.045399999999999920e+02 4.870894091236508544e-03
2.050099999999999909e+02 5.727094622123123265e-03
2.054799999999999898e+02 6.833544985685668059e-03
2.059499999999999886e+02 8.139302502677112777e-03
2.064099999999999966e+02 9.670750810722475790e-03
2.068799999999999955e+02 1.112583356632994118e-02
2.073499999999999943e+02 1.253095873151011987e-02
2.078199999999999932e+02 1.399930768220250706e-02
2.082800000000000011e+02 1.573672307171365692e-02
2.087500000000000000e+02 1.761815511090350506e-02
2.092199999999999989e+02 1.951055331616625282e-02
2.096899999999999977e+02 2.118843234219860983e-02
2.101500000000000057e+02 2.242019653269216456e-02
2.106200000000000045e+02 2.367515204821263319e-02
2.110900000000000034e+02 2.480994993916302641e-02
2.115600000000000023e+02 2.585448600820488413e-02
2.120200000000000102e+02 2.692043660236252342e-02
2.124900000000000091e+02 2.802087128817907710e-02
2.129600000000000080e+02 2.925843774001271255e-02
2.134199999999999875e+02 3.067089168243506900e-02
2.138899999999999864e+02 3.213960729330191113e-02
2.143600000000000136e+02 3.355092638720671983e-02
2.148300000000000125e+02 3.507633318076928269e-02
2.152899999999999920e+02 3.651406272634116074e-02
2.157599999999999909e+02 3.794163444696295462e-02
2.162299999999999898e+02 3.934219529522975378e-02
2.166899999999999977e+02 4.087648864269732146e-02
2.171599999999999966e+02 4.240431602572383718e-02
2.176299999999999955e+02 4.399751911808771204e-02
2.180900000000000034e+02 4.558371177297985272e-02
2.185600000000000023e+02 4.738703723949784508e-02
2.190300000000000011e+02 4.929359577064687525e-02
2.194900000000000091e+02 5.120994007937124809e-02
2.199600000000000080e+02 5.320449517519904026e-02
2.204199999999999875e+02 5.510986305900214544e-02
2.208899999999999864e+02 5.712863823288191756e-02
2.213600000000000136e+02 5.922896339068609711e-02
2.218199999999999932e+02 6.125648156913144488e-02
2.222899999999999920e+02 6.361659426723860478e-02
2.227599999999999909e+02 6.602802819150355162e-02
2.232199999999999989e+02 6.831614811551332822e-02
2.236899999999999977e+02 7.063236063002720222e-02
2.241500000000000057e+02 7.312116155754307123e-02
2.246200000000000045e+02 7.555343457146708464e-02
2.250900000000000034e+02 7.824224974398645560e-02
2.255500000000000114e+02 8.103206813336942538e-02
2.260200000000000102e+02 8.415739691592104277e-02
2.264799999999999898e+02 8.712286329530991025e-02
2.269499999999999886e+02 9.042612751018573591e-02
2.274099999999999966e+02 9.381751923054813813e-02
2.278799999999999955e+02 9.721824581482199634e-02
2.283499999999999943e+02 1.005599970434933876e-01
2.288100000000000023e+02 1.037023667287236134e-01
2.292800000000000011e+02 1.071796379773674451e-01
2.297400000000000091e+02 1.108040719798441820e-01
2.302100000000000080e+02 1.142945378951878421e-01
2.306699999999999875e+02 1.178162974170429561e-01
2.311399999999999864e+02 1.220520010997968446e-01
2.315999999999999943e+02 1.263967049703003109e-01
2.320699999999999932e+02 1.307126533329778795e-01
2.325300000000000011e+02 1.348391937613161451e-01
2.330000000000000000e+02 1.391481771591865924e-01
2.334600000000000080e+02 1.432188450376797872e-01
2.339300000000000068e+02 1.479189070947850015e-01
2.343899999999999864e+02 1.526399638414648041e-01
2.348600000000000136e+02 1.573531435367609699e-01
2.353199999999999932e+02 1.627331449430159949e-01
2.357899999999999920e+02 1.681690163510382308e-01
2.362500000000000000e+02 1.730419100553082790e-01
2.367199999999999989e+02 1.788666089282508198e-01
2.371800000000000068e+02 1.837162947512442357e-01
2.376500000000000057e+02 1.892253410495191301e-01
2.381100000000000136e+02 1.947826353591825821e-01
2.385800000000000125e+02 2.012291652502110895e-01
2.390399999999999920e+02 2.073494745298850583e-01
2.395099999999999909e+02 2.133817128715990996e-01
