# Python obtained correction file
#  T = 2850 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -4.839580481751161976e-03
1.961100000000000136e+02 1.517093220949932396e-02
1.965800000000000125e+02 3.442409270118126224e-03
1.970500000000000114e+02 2.117073955190560026e-03
1.975200000000000102e+02 1.622770878296461760e-03
1.979900000000000091e+02 1.376596915559705203e-03
1.984600000000000080e+02 1.239415879581512447e-03
1.989199999999999875e+02 1.160320613667910816e-03
1.993899999999999864e+02 1.119997618403251747e-03
1.998600000000000136e+02 1.106668779035200603e-03
2.003300000000000125e+02 1.115230813381550522e-03
2.008000000000000114e+02 1.141155594591757158e-03
2.012700000000000102e+02 1.201140792411576523e-03
2.017299999999999898e+02 1.305388698960002281e-03
2.021999999999999886e+02 1.452430299899260587e-03
2.026699999999999875e+02 1.586783738398864869e-03
2.031399999999999864e+02 1.750880500798198498e-03
2.036100000000000136e+02 1.960704469533096610e-03
2.040699999999999932e+02 2.230898227532912472e-03
2.045399999999999920e+02 2.588429778106174275e-03
2.050099999999999909e+02 3.048981377764485145e-03
2.054799999999999898e+02 3.644647721136272216e-03
2.059499999999999886e+02 4.348927561514268937e-03
2.064099999999999966e+02 5.176312478301517070e-03
2.068799999999999955e+02 5.965835609627570708e-03
2.073499999999999943e+02 6.731284156268163912e-03
2.078199999999999932e+02 7.533409578610195806e-03
2.082800000000000011e+02 8.483028699159837760e-03
2.087500000000000000e+02 9.513965976540549041e-03
2.092199999999999989e+02 1.055435862110344451e-02
2.096899999999999977e+02 1.148203247060650481e-02
2.101500000000000057e+02 1.217019792803923119e-02
2.106200000000000045e+02 1.287365905649275229e-02
2.110900000000000034e+02 1.351396439158411567e-02
2.115600000000000023e+02 1.410707985105392852e-02
2.120200000000000102e+02 1.471325008991198648e-02
2.124900000000000091e+02 1.534072831921485386e-02
2.129600000000000080e+02 1.604538142994511515e-02
2.134199999999999875e+02 1.684771943315398549e-02
2.138899999999999864e+02 1.768412080982021198e-02
2.143600000000000136e+02 1.849151176167883673e-02
2.148300000000000125e+02 1.936439402589385309e-02
2.152899999999999920e+02 2.019078919313343698e-02
2.157599999999999909e+02 2.101477667619811376e-02
2.162299999999999898e+02 2.182628537111639885e-02
2.166899999999999977e+02 2.271376690548302518e-02
2.171599999999999966e+02 2.360108910093014142e-02
2.176299999999999955e+02 2.452751324971992955e-02
2.180900000000000034e+02 2.545191499974424829e-02
2.185600000000000023e+02 2.650133204977282372e-02
2.190300000000000011e+02 2.761169215731616375e-02
2.194900000000000091e+02 2.872986026737760212e-02
2.199600000000000080e+02 2.989620641780560764e-02
2.204199999999999875e+02 3.101473728367096575e-02
2.208899999999999864e+02 3.220144539460757099e-02
2.213600000000000136e+02 3.343762674818903657e-02
2.218199999999999932e+02 3.463505871241633061e-02
2.222899999999999920e+02 3.602536856090201439e-02
2.227599999999999909e+02 3.744877690778006252e-02
2.232199999999999989e+02 3.880493443860164732e-02
2.236899999999999977e+02 4.018213610742386172e-02
2.241500000000000057e+02 4.166018843790897375e-02
2.246200000000000045e+02 4.311144400373088936e-02
2.250900000000000034e+02 4.471334288562280046e-02
2.255500000000000114e+02 4.637602750589026740e-02
2.260200000000000102e+02 4.823707477358130102e-02
2.264799999999999898e+02 5.000994342174579221e-02
2.269499999999999886e+02 5.198342197417583216e-02
2.274099999999999966e+02 5.401137557829974178e-02
2.278799999999999955e+02 5.605192208852583652e-02
2.283499999999999943e+02 5.806397669831577651e-02
2.288100000000000023e+02 5.996431207451804329e-02
2.292800000000000011e+02 6.206547620868581305e-02
2.297400000000000091e+02 6.425562523999196751e-02
2.302100000000000080e+02 6.637574574485008427e-02
2.306699999999999875e+02 6.851757114364154244e-02
2.311399999999999864e+02 7.108286851984708943e-02
2.315999999999999943e+02 7.371630021220237916e-02
2.320699999999999932e+02 7.634205880165570446e-02
2.325300000000000011e+02 7.886154200540400339e-02
2.330000000000000000e+02 8.149672688734121984e-02
2.334600000000000080e+02 8.399644278602749758e-02
2.339300000000000068e+02 8.687465056734278157e-02
2.343899999999999864e+02 8.976994858226941543e-02
2.348600000000000136e+02 9.267060196893520119e-02
2.353199999999999932e+02 9.596905837293794039e-02
2.357899999999999920e+02 9.931166886568881802e-02
2.362500000000000000e+02 1.023268539325656590e-01
2.367199999999999989e+02 1.059160979111360285e-01
2.371800000000000068e+02 1.089330909709836370e-01
2.376500000000000057e+02 1.123520951646337640e-01
2.381100000000000136e+02 1.158049289808336657e-01
2.385800000000000125e+02 1.197989108090494054e-01
2.390399999999999920e+02 1.236048016368724023e-01
2.395099999999999909e+02 1.273708939579976107e-01
2.399699999999999989e+02 1.312463343475876176e-01
2.404399999999999977e+02 1.357221444488130868e-01
2.409000000000000057e+02 1.398515777473680888e-01
2.413600000000000136e+02 1.444341453368438999e-01
2.418300000000000125e+02 1.484262742636453525e-01
2.422899999999999920e+02 1.527869586177547090e-01
2.427599999999999909e+02 1.569731930029154565e-01
2.432199999999999989e+02 1.614859045939332494e-01
2.436800000000000068e+02 1.656686468313215144e-01
2.441500000000000057e+02 1.705338384550839081e-01
2.446100000000000136e+02 1.761107550922270670e-01
2.450800000000000125e+02 1.813667847076617934e-01
2.455399999999999920e+02 1.863704333170455307e-01
2.460000000000000000e+02 1.919266698728356035e-01
2.464699999999999989e+02 1.971134500545190515e-01
2.469300000000000068e+02 2.032410288144280985e-01
2.474000000000000057e+02 2.096433755492944639e-01
2.478600000000000136e+02 2.162344793150431099e-01
2.483199999999999932e+02 2.225861938837166154e-01
2.487899999999999920e+02 2.292901584222906963e-01
2.492500000000000000e+02 2.359041208364054398e-01
2.497100000000000080e+02 2.427975199015962315e-01
2.501800000000000068e+02 2.499019511550860384e-01
2.506399999999999864e+02 2.574542587951000328e-01
2.510999999999999943e+02 2.638416239819740272e-01
2.515699999999999932e+02 2.713823465158492487e-01
2.520300000000000011e+02 2.780825555812712069e-01
2.524900000000000091e+02 2.852154521774137863e-01
2.529600000000000080e+02 2.930350343904468136e-01
2.534199999999999875e+02 3.006407654701032106e-01
2.538799999999999955e+02 3.085031474054707457e-01
2.543499999999999943e+02 3.167620581612365371e-01
2.548100000000000023e+02 3.256955645624646789e-01
2.552700000000000102e+02 3.338149252215871776e-01
2.557299999999999898e+02 3.421497815982278978e-01
2.561999999999999886e+02 3.525553882714897447e-01
2.566600000000000250e+02 3.622395858347830511e-01
2.571200000000000045e+02 3.722176180232865117e-01
2.575799999999999841e+02 3.823613009500319015e-01
2.580500000000000114e+02 3.934688292877842608e-01
2.585099999999999909e+02 4.032781914735952267e-01
2.589700000000000273e+02 4.136880711526244592e-01
2.594300000000000068e+02 4.252989161161155329e-01
2.598999999999999773e+02 4.359196925491520824e-01
2.603600000000000136e+02 4.457356456486093466e-01
2.608199999999999932e+02 4.568168956088154986e-01
2.612799999999999727e+02 4.677640506004960841e-01
2.617500000000000000e+02 4.785741897420453528e-01
2.622099999999999795e+02 4.901055942698302470e-01
2.626700000000000159e+02 5.021829532534711760e-01
2.631299999999999955e+02 5.157133305441345961e-01
2.636000000000000227e+02 5.286094326073941252e-01
2.640600000000000023e+02 5.409636342775570039e-01
2.645199999999999818e+02 5.527681162153389449e-01
2.649800000000000182e+02 5.646802752993145269e-01
2.654399999999999977e+02 5.797335121984070749e-01
2.658999999999999773e+02 5.928996382134318344e-01
2.663700000000000045e+02 6.084224514692757602e-01
2.668299999999999841e+02 6.229082466665650797e-01
2.672900000000000205e+02 6.381255598340906943e-01
2.677500000000000000e+02 6.521371436182971104e-01
2.682099999999999795e+02 6.678514457842903429e-01
2.686700000000000159e+02 6.831375135614846661e-01
2.691399999999999864e+02 6.966683174155742231e-01
2.696000000000000227e+02 7.116439272068366684e-01
2.700600000000000023e+02 7.281448016676028701e-01
2.705199999999999818e+02 7.450391728434891947e-01
2.709800000000000182e+02 7.619258668801809353e-01
2.714399999999999977e+02 7.798765162701111198e-01
2.718999999999999773e+02 7.984197558277830176e-01
2.723700000000000045e+02 8.166157997047200912e-01
2.728299999999999841e+02 8.341780297074309347e-01
2.732900000000000205e+02 8.532961303450510293e-01
2.737500000000000000e+02 8.727344429627080791e-01
2.742099999999999795e+02 8.920731111983054573e-01
2.746700000000000159e+02 9.130245401393455307e-01
2.751299999999999955e+02 9.335850770892543116e-01
2.755899999999999750e+02 9.551074771256832241e-01
2.760500000000000114e+02 9.761754594900942106e-01
2.765099999999999909e+02 9.980876113385229731e-01
2.769700000000000273e+02 1.020497956271912310e+00
2.774300000000000068e+02 1.043717426102219736e+00
2.778999999999999773e+02 1.066730361804304028e+00
2.783600000000000136e+02 1.090200069380728332e+00
2.788199999999999932e+02 1.114813239004757817e+00
2.792799999999999727e+02 1.137813755864796050e+00
2.797400000000000091e+02 1.159977878373350313e+00
2.801999999999999886e+02 1.182520561685369564e+00
2.806600000000000250e+02 1.202929825821921206e+00
2.811200000000000045e+02 1.228783642603628046e+00
2.815799999999999841e+02 1.251397522148541164e+00
2.820400000000000205e+02 1.276549418333731367e+00
2.825000000000000000e+02 1.300614635651095696e+00
2.829599999999999795e+02 1.322852209266339507e+00
2.834200000000000159e+02 1.348311006964046488e+00
2.838799999999999955e+02 1.373123547232619757e+00
2.843399999999999750e+02 1.400005984951026239e+00
2.848000000000000114e+02 1.425971331945032228e+00
2.852599999999999909e+02 1.456637738469876764e+00
2.857200000000000273e+02 1.484039764872740363e+00
2.861800000000000068e+02 1.514497525929838551e+00
2.866399999999999864e+02 1.548856904326632256e+00
2.871000000000000227e+02 1.579927547656837294e+00
2.875600000000000023e+02 1.612729456759038227e+00
2.880199999999999818e+02 1.642963015058833909e+00
2.884800000000000182e+02 1.670902867076384357e+00
2.889399999999999977e+02 1.702888771424903247e+00
2.893899999999999864e+02 1.734009022024411317e+00
2.898500000000000227e+02 1.766435254673233146e+00
2.903100000000000023e+02 1.804000928919143876e+00
2.907699999999999818e+02 1.836797978662322084e+00
2.912300000000000182e+02 1.870830496576929125e+00
2.916899999999999977e+02 1.906616921406297127e+00
2.921499999999999773e+02 1.941945478671421865e+00
2.926100000000000136e+02 1.976303312971931181e+00
2.930699999999999932e+02 2.013852411196084269e+00
2.935299999999999727e+02 2.051746287914395950e+00
2.939900000000000091e+02 2.087885275366009541e+00
2.944399999999999977e+02 2.129098339845648891e+00
2.948999999999999773e+02 2.165419019720229432e+00
2.953600000000000136e+02 2.209499310815564943e+00
2.958199999999999932e+02 2.257466742931598880e+00
2.962799999999999727e+02 2.298567300590307561e+00
2.967400000000000091e+02 2.341135774854178120e+00
2.971999999999999886e+02 2.379948783898068854e+00
2.976600000000000250e+02 2.427306338024755483e+00
2.981100000000000136e+02 2.471984317741565018e+00
2.985699999999999932e+02 2.515907344388519817e+00
2.990299999999999727e+02 2.567182130923839622e+00
2.994900000000000091e+02 2.617941314850523948e+00
2.999499999999999886e+02 2.661727032230927215e+00
3.004100000000000250e+02 2.707410432330942918e+00
3.008600000000000136e+02 2.756244024292404227e+00
3.013199999999999932e+02 2.798722216988899891e+00
3.017799999999999727e+02 2.846865472868624458e+00
3.022400000000000091e+02 2.899061294341211514e+00
3.026999999999999886e+02 2.947919470201234127e+00
3.031499999999999773e+02 2.994231347240197572e+00
3.036100000000000136e+02 3.049589067191442293e+00
3.040699999999999932e+02 3.102940951736513853e+00
3.045299999999999727e+02 3.159536748096379188e+00
3.049900000000000091e+02 3.215185212292662964e+00
3.054399999999999977e+02 3.259971702043329422e+00
3.058999999999999773e+02 3.309954469664632803e+00
3.063600000000000136e+02 3.368139662449852079e+00
3.068199999999999932e+02 3.431849346152127556e+00
3.072699999999999818e+02 3.484162105502787377e+00
3.077300000000000182e+02 3.542445529406977212e+00
3.081899999999999977e+02 3.602259487944465377e+00
3.086499999999999773e+02 3.651936348032755575e+00
3.091000000000000227e+02 3.704179114145788265e+00
3.095600000000000023e+02 3.764684777064474908e+00
3.100199999999999818e+02 3.824318096584505611e+00
3.104800000000000182e+02 3.876244739343658541e+00
3.109300000000000068e+02 3.932313916151789712e+00
3.113899999999999864e+02 3.984423835671773606e+00
3.118500000000000227e+02 4.039029294020568983e+00
3.123000000000000114e+02 4.096747006073458763e+00
3.127599999999999909e+02 4.161807236823080736e+00
3.132200000000000273e+02 4.228489673769799673e+00
3.136700000000000159e+02 4.292272249328065392e+00
3.141299999999999955e+02 4.355412651618117970e+00
3.145899999999999750e+02 4.422935196992245466e+00
3.150400000000000205e+02 4.489842581263251198e+00
3.155000000000000000e+02 4.565383011165882188e+00
3.159599999999999795e+02 4.628135686230331558e+00
3.164100000000000250e+02 4.693949565501396748e+00
3.168700000000000045e+02 4.760375663580941996e+00
3.173299999999999841e+02 4.818425539510535316e+00
3.177799999999999727e+02 4.869613489905002979e+00
3.182400000000000091e+02 4.935874908546546536e+00
3.186999999999999886e+02 4.990075620236355647e+00
3.191499999999999773e+02 5.035522820440035296e+00
3.196100000000000136e+02 5.075222078108250656e+00
3.200600000000000023e+02 5.119873280035563745e+00
3.205199999999999818e+02 5.166962136523260973e+00
3.209800000000000182e+02 5.226419143886474217e+00
3.214300000000000068e+02 5.301182251491817432e+00
3.218899999999999864e+02 5.370009000130244736e+00
3.223399999999999750e+02 5.445690243312155232e+00
3.228000000000000114e+02 5.518037920792468576e+00
3.232599999999999909e+02 5.588808052954886918e+00
3.237099999999999795e+02 5.656868775858614029e+00
3.241700000000000159e+02 5.714839603430622361e+00
3.246200000000000045e+02 5.774575492645442232e+00
3.250799999999999841e+02 5.833425591748885530e+00
3.255400000000000205e+02 5.885083492224681301e+00
3.259900000000000091e+02 5.932549315391000277e+00
3.264499999999999886e+02 5.965071352649676584e+00
3.268999999999999773e+02 5.983256788209709853e+00
3.273600000000000136e+02 5.997047596949984793e+00
3.278100000000000023e+02 5.999631616450198379e+00
3.282699999999999818e+02 6.002820861721124501e+00
3.287200000000000273e+02 6.001879832334986453e+00
3.291800000000000068e+02 6.007076894158131175e+00
3.296299999999999955e+02 6.007658375773341497e+00
3.300899999999999750e+02 6.016147423654882864e+00
3.305400000000000205e+02 6.018721407686259184e+00
3.310000000000000000e+02 6.005761829179051325e+00
3.314499999999999886e+02 5.999932086691011968e+00
3.319100000000000250e+02 5.985423526062561450e+00
3.323600000000000136e+02 5.967210116071557380e+00
3.328199999999999932e+02 5.952866545079873006e+00
3.332699999999999818e+02 5.932124243068028768e+00
3.337300000000000182e+02 5.906429234235226033e+00
3.341800000000000068e+02 5.880484072571054099e+00
3.346399999999999864e+02 5.833508216348836761e+00
3.350899999999999750e+02 5.792270699330624772e+00
3.355500000000000114e+02 5.736823686826676649e+00
3.360000000000000000e+02 5.674879246715471837e+00
3.364499999999999886e+02 5.609465443171641752e+00
3.369100000000000250e+02 5.544534094458089868e+00
3.373600000000000136e+02 5.478419934513297562e+00
3.378199999999999932e+02 5.407972180530485673e+00
3.382699999999999818e+02 5.335532633339547637e+00
3.387300000000000182e+02 5.251148847392740571e+00
3.391800000000000068e+02 5.167493324760226159e+00
3.396299999999999955e+02 5.081355245735655224e+00
3.400899999999999750e+02 4.998472418055266431e+00
3.405400000000000205e+02 4.912089873718109345e+00
3.410000000000000000e+02 4.823278643652687769e+00
3.414499999999999886e+02 4.740996299671946801e+00
3.418999999999999773e+02 4.661004775672219935e+00
3.423600000000000136e+02 4.571242374643879280e+00
3.428100000000000023e+02 4.482133680428550981e+00
3.432599999999999909e+02 4.391465622395846147e+00
3.437200000000000273e+02 4.302610904135829806e+00
3.441700000000000159e+02 4.215704670251782638e+00
3.446299999999999955e+02 4.130344164267810037e+00
3.450799999999999841e+02 4.043509066518259587e+00
3.455299999999999727e+02 3.959370806428071710e+00
3.459900000000000091e+02 3.878079431723327364e+00
3.464399999999999977e+02 3.795559458924167906e+00
3.468899999999999864e+02 3.710470101445358715e+00
3.473500000000000227e+02 3.627582830065452235e+00
3.478000000000000114e+02 3.544355709472851057e+00
3.482500000000000000e+02 3.461680572512042531e+00
3.487099999999999795e+02 3.381280619613276972e+00
3.491600000000000250e+02 3.301505506858497085e+00
3.496100000000000136e+02 3.220122598877051434e+00
3.500600000000000023e+02 3.142186141872046257e+00
3.505199999999999818e+02 3.070726156784357563e+00
3.509700000000000273e+02 2.994523793865502714e+00
3.514200000000000159e+02 2.920053564179333261e+00
3.518799999999999955e+02 2.849749271189081945e+00
3.523299999999999841e+02 2.779338024595925383e+00
3.527799999999999727e+02 2.713079577098534756e+00
3.532300000000000182e+02 2.647032000447318456e+00
3.536899999999999977e+02 2.583495086211832881e+00
3.541399999999999864e+02 2.521556261622699857e+00
3.545899999999999750e+02 2.463531422902415891e+00
3.550400000000000205e+02 2.405996927486475201e+00
3.555000000000000000e+02 2.350110707625864936e+00
3.559499999999999886e+02 2.296510860068164739e+00
3.563999999999999773e+02 2.244353794426436899e+00
3.568500000000000227e+02 2.195061548376493032e+00
3.573000000000000114e+02 2.148904796558195773e+00
3.577599999999999909e+02 2.105468435051082832e+00
3.582099999999999795e+02 2.062744564498601552e+00
3.586600000000000250e+02 2.022798796049918302e+00
3.591100000000000136e+02 1.984337966873536141e+00
3.595600000000000023e+02 1.947996423370119023e+00
3.600199999999999818e+02 1.911437921164559128e+00
3.604700000000000273e+02 1.876190491767109503e+00
3.609200000000000159e+02 1.842265806544308049e+00
3.613700000000000045e+02 1.808970296123583177e+00
3.618199999999999932e+02 1.776572184768446805e+00
3.622699999999999818e+02 1.743843412364641132e+00
3.627300000000000182e+02 1.712479353376316737e+00
3.631800000000000068e+02 1.682431216484368219e+00
3.636299999999999955e+02 1.652144976783959773e+00
3.640799999999999841e+02 1.623479236068279929e+00
3.645299999999999727e+02 1.594647478871076496e+00
3.649800000000000182e+02 1.567190427998272240e+00
3.654300000000000068e+02 1.541121755799787385e+00
3.658899999999999864e+02 1.517682104161057088e+00
3.663399999999999750e+02 1.494138153496178401e+00
3.667900000000000205e+02 1.469997361254399060e+00
3.672400000000000091e+02 1.446653620348426150e+00
3.676899999999999977e+02 1.424679965068633702e+00
3.681399999999999864e+02 1.402897752569809198e+00
3.685899999999999750e+02 1.381089571542361005e+00
3.690400000000000205e+02 1.360568899281241473e+00
3.694900000000000091e+02 1.340480384296689698e+00
3.699399999999999977e+02 1.321159982436698188e+00
3.703899999999999864e+02 1.301748277467952963e+00
3.708500000000000227e+02 1.283420038104765570e+00
3.713000000000000114e+02 1.265700586042666442e+00
3.717500000000000000e+02 1.248345417292519910e+00
3.721999999999999886e+02 1.231332683896533942e+00
3.726499999999999773e+02 1.214428594629564984e+00
3.731000000000000227e+02 1.199470004721843397e+00
3.735500000000000114e+02 1.183851497929940599e+00
3.740000000000000000e+02 1.169711358222766950e+00
