# Python obtained correction file
#  T = 2691 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -1.646503037723266560e+00
1.961100000000000136e+02 1.519197984046829208e-01
1.965800000000000125e+02 6.666139716983442154e-02
1.970500000000000114e+02 3.961245590146458134e-02
1.975200000000000102e+02 2.606973877112513799e-02
1.979900000000000091e+02 1.774105868734496966e-02
1.984600000000000080e+02 1.193903554361482218e-02
1.989199999999999875e+02 7.593849218908404163e-03
1.993899999999999864e+02 3.986944297872877484e-03
1.998600000000000136e+02 8.677578335523439355e-04
2.003300000000000125e+02 -1.973286678020869361e-03
2.008000000000000114e+02 -4.709836447376515405e-03
2.012700000000000102e+02 -7.534191858915424006e-03
2.017299999999999898e+02 -1.066684606190649622e-02
2.021999999999999886e+02 -1.433843906645230343e-02
2.026699999999999875e+02 -1.796859898892732774e-02
2.031399999999999864e+02 -2.192025376620098179e-02
2.036100000000000136e+02 -2.633513511487878961e-02
2.040699999999999932e+02 -3.131652845888312914e-02
2.045399999999999920e+02 -3.736653527865521629e-02
2.050099999999999909e+02 -4.422545010563780354e-02
2.054799999999999898e+02 -5.189119913753065250e-02
2.059499999999999886e+02 -6.036814698161831888e-02
2.064099999999999966e+02 -6.891846833540658801e-02
2.068799999999999955e+02 -7.718238177531365485e-02
2.073499999999999943e+02 -8.455152469946716765e-02
2.078199999999999932e+02 -9.174549117380935426e-02
2.082800000000000011e+02 -9.912112031152572889e-02
2.087500000000000000e+02 -1.065982563679322148e-01
2.092199999999999989e+02 -1.144369804993699835e-01
2.096899999999999977e+02 -1.218626732408790714e-01
2.101500000000000057e+02 -1.283577696607336727e-01
2.106200000000000045e+02 -1.333875957877086738e-01
2.110900000000000034e+02 -1.391723204874518449e-01
2.115600000000000023e+02 -1.451494103016470749e-01
2.120200000000000102e+02 -1.504263941890114364e-01
2.124900000000000091e+02 -1.550880704079228289e-01
2.129600000000000080e+02 -1.599208586582619440e-01
2.134199999999999875e+02 -1.657765133786860412e-01
2.138899999999999864e+02 -1.713830761454731844e-01
2.143600000000000136e+02 -1.755785496875229279e-01
2.148300000000000125e+02 -1.809111566023891005e-01
2.152899999999999920e+02 -1.858298580012704981e-01
2.157599999999999909e+02 -1.904381219890634858e-01
2.162299999999999898e+02 -1.943167227301979827e-01
2.166899999999999977e+02 -1.975803654745494908e-01
2.171599999999999966e+02 -2.023613870502214696e-01
2.176299999999999955e+02 -2.070408953976884403e-01
2.180900000000000034e+02 -2.119372260600319580e-01
2.185600000000000023e+02 -2.175848311359696585e-01
2.190300000000000011e+02 -2.219512704642921386e-01
2.194900000000000091e+02 -2.259447416477107229e-01
2.199600000000000080e+02 -2.282793562807386989e-01
2.204199999999999875e+02 -2.322234914371166525e-01
2.208899999999999864e+02 -2.362424976994000614e-01
2.213600000000000136e+02 -2.392495521104469891e-01
2.218199999999999932e+02 -2.416011710008287017e-01
2.222899999999999920e+02 -2.447168279121373635e-01
2.227599999999999909e+02 -2.480887553035394932e-01
2.232199999999999989e+02 -2.494858214850230460e-01
2.236899999999999977e+02 -2.516544999523313009e-01
2.241500000000000057e+02 -2.541874136329307921e-01
2.246200000000000045e+02 -2.554617169434673651e-01
2.250900000000000034e+02 -2.579507179862623456e-01
2.255500000000000114e+02 -2.582362797832536416e-01
2.260200000000000102e+02 -2.600216248823101761e-01
2.264799999999999898e+02 -2.621332579828886122e-01
2.269499999999999886e+02 -2.630044389530106774e-01
2.274099999999999966e+02 -2.646749363074117900e-01
2.278799999999999955e+02 -2.653742111460548059e-01
2.283499999999999943e+02 -2.666138946761851258e-01
2.288100000000000023e+02 -2.678887223084498448e-01
2.292800000000000011e+02 -2.668077829164510195e-01
2.297400000000000091e+02 -2.678070794952929767e-01
2.302100000000000080e+02 -2.671104686290086683e-01
2.306699999999999875e+02 -2.660214372318322473e-01
