# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
1.956899999999999977e+02 -1.862362801110390223e-02
1.961599999999999966e+02 9.278020525345102160e-03
1.966299999999999955e+02 4.132707604580406792e-03
1.970999999999999943e+02 2.843003669187394930e-03
1.975600000000000023e+02 2.272059118582998340e-03
1.980300000000000011e+02 1.965835390945562793e-03
1.985000000000000000e+02 1.785958861949190225e-03
1.989699999999999989e+02 1.678471185245051026e-03
1.994300000000000068e+02 1.616467259483039126e-03
1.999000000000000057e+02 1.590124054421556505e-03
2.003700000000000045e+02 1.590924958098348775e-03
2.008400000000000034e+02 1.628722920090654039e-03
2.013000000000000114e+02 1.708734289741678514e-03
2.017700000000000102e+02 1.845946643126200951e-03
2.022400000000000091e+02 2.023324677398112385e-03
2.027100000000000080e+02 2.149440749758542869e-03
2.031699999999999875e+02 2.282657566624628296e-03
2.036399999999999864e+02 2.429242990749907755e-03
2.041100000000000136e+02 2.583799196369924132e-03
2.045800000000000125e+02 2.745841319679533446e-03
2.050399999999999920e+02 2.911957219939444869e-03
2.055099999999999909e+02 3.086389238234562432e-03
2.059799999999999898e+02 3.264613341368152039e-03
2.064399999999999977e+02 3.439530353653040117e-03
2.069099999999999966e+02 3.619059629938327621e-03
2.073799999999999955e+02 3.791632354572174648e-03
2.078400000000000034e+02 3.969008271641147508e-03
2.083100000000000023e+02 4.156520408589893176e-03
2.087800000000000011e+02 4.347756615577026348e-03
2.092400000000000091e+02 4.544699751303903773e-03
2.097100000000000080e+02 4.753463666236037999e-03
2.101800000000000068e+02 4.968285797691432241e-03
2.106399999999999864e+02 5.192843110903698489e-03
2.111100000000000136e+02 5.428217931567547866e-03
2.115800000000000125e+02 5.676721746978827775e-03
2.120399999999999920e+02 5.925427544387501695e-03
2.125099999999999909e+02 6.188321475477897605e-03
2.129799999999999898e+02 6.459123742551298002e-03
2.134399999999999977e+02 6.740773503119466478e-03
2.139099999999999966e+02 7.049553507670815178e-03
2.143700000000000045e+02 7.365028069302034623e-03
2.148400000000000034e+02 7.703956406902813178e-03
2.153100000000000023e+02 8.044787377333398326e-03
2.157700000000000102e+02 8.383277215423546799e-03
2.162400000000000091e+02 8.742796767690042339e-03
2.166999999999999886e+02 9.100785904044558089e-03
2.171699999999999875e+02 9.493902943191467880e-03
2.176299999999999955e+02 9.869581068086099793e-03
2.180999999999999943e+02 1.027759495707389163e-02
2.185699999999999932e+02 1.069663759512157544e-02
2.190300000000000011e+02 1.111283997976813057e-02
2.195000000000000000e+02 1.154877005224897238e-02
2.199600000000000080e+02 1.199246438010517259e-02
2.204300000000000068e+02 1.245383635053713516e-02
2.208899999999999864e+02 1.294264667553163099e-02
2.213600000000000136e+02 1.345814755173362076e-02
2.218199999999999932e+02 1.397456576448676512e-02
2.222899999999999920e+02 1.451735671294282840e-02
2.227500000000000000e+02 1.507341328504823753e-02
2.232199999999999989e+02 1.565350634336988567e-02
2.236800000000000068e+02 1.624488281041396032e-02
2.241500000000000057e+02 1.687790809140215717e-02
2.246100000000000136e+02 1.749716108360832231e-02
2.250800000000000125e+02 1.814267484273653086e-02
2.255399999999999920e+02 1.880726361308782818e-02
2.260099999999999909e+02 1.951513876493089425e-02
2.264699999999999989e+02 2.021629329212469572e-02
