# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -1.353805230519864421e-02
1.961100000000000136e+02 1.523472890903876387e-02
1.965800000000000125e+02 5.527797152496094837e-03
1.970500000000000114e+02 3.643023399113709971e-03
1.975200000000000102e+02 2.867352747201195977e-03
1.979900000000000091e+02 2.464315905550921049e-03
1.984600000000000080e+02 2.234462496079673861e-03
1.989199999999999875e+02 2.099986816203973199e-03
1.993899999999999864e+02 2.030765578547648938e-03
1.998600000000000136e+02 2.007608600474498819e-03
2.003300000000000125e+02 2.022123061738069320e-03
2.008000000000000114e+02 2.065833665234541056e-03
2.012700000000000102e+02 2.168140489170378507e-03
2.017299999999999898e+02 2.345624507694859390e-03
2.021999999999999886e+02 2.594815666360045150e-03
2.026699999999999875e+02 2.823642675985978904e-03
2.031399999999999864e+02 3.102904272798768029e-03
2.036100000000000136e+02 3.454152841006924522e-03
2.040699999999999932e+02 3.900354714115160642e-03
2.045399999999999920e+02 4.485075984210482904e-03
2.050099999999999909e+02 5.231590956590215398e-03
2.054799999999999898e+02 6.179445184938300341e-03
2.059499999999999886e+02 7.273469282630556400e-03
2.064099999999999966e+02 8.537526660220111363e-03
2.068799999999999955e+02 9.728850144462421884e-03
2.073499999999999943e+02 1.084636710753203968e-02
2.078199999999999932e+02 1.199356727426906591e-02
2.082800000000000011e+02 1.333391698987572600e-02
2.087500000000000000e+02 1.480529033887431276e-02
2.092199999999999989e+02 1.622886981397609826e-02
2.096899999999999977e+02 1.749604679677990715e-02
2.101500000000000057e+02 1.844021890529934718e-02
2.106200000000000045e+02 1.937145027051722854e-02
2.110900000000000034e+02 2.026406353683772588e-02
2.115600000000000023e+02 2.112932948082591605e-02
2.120200000000000102e+02 2.197149289122749330e-02
2.124900000000000091e+02 2.282290726400403730e-02
2.129600000000000080e+02 2.380663707677504667e-02
2.134199999999999875e+02 2.484706294529456100e-02
2.138899999999999864e+02 2.601703413472010451e-02
2.143600000000000136e+02 2.715867788687321635e-02
2.148300000000000125e+02 2.840283092089311914e-02
2.152899999999999920e+02 2.958097000359533046e-02
2.157599999999999909e+02 3.082076684408574171e-02
2.162299999999999898e+02 3.206261036762302757e-02
2.166899999999999977e+02 3.329339564652492034e-02
2.171599999999999966e+02 3.460963742486110328e-02
2.176299999999999955e+02 3.594604523609844227e-02
2.180900000000000034e+02 3.734195875508414947e-02
2.185600000000000023e+02 3.876591956469419703e-02
2.190300000000000011e+02 4.023166136642906954e-02
2.194900000000000091e+02 4.172268788420344099e-02
2.199600000000000080e+02 4.323486964955371159e-02
2.204199999999999875e+02 4.475048904619170764e-02
2.208899999999999864e+02 4.632042224919661472e-02
2.213600000000000136e+02 4.792864999316640701e-02
2.218199999999999932e+02 4.959714876127122030e-02
2.222899999999999920e+02 5.142856037337064506e-02
2.227599999999999909e+02 5.323746534196655694e-02
2.232199999999999989e+02 5.515899487998406764e-02
2.236899999999999977e+02 5.710228658963318465e-02
2.241500000000000057e+02 5.914553903407932661e-02
2.246200000000000045e+02 6.126791566027821323e-02
2.250900000000000034e+02 6.345394655257693972e-02
2.255500000000000114e+02 6.577550377749576127e-02
2.260200000000000102e+02 6.807905465331107187e-02
2.264799999999999898e+02 7.052952790917096926e-02
2.269499999999999886e+02 7.309027596771847102e-02
2.274099999999999966e+02 7.579727924765519709e-02
2.278799999999999955e+02 7.841233680230884351e-02
2.283499999999999943e+02 8.111285782323413018e-02
2.288100000000000023e+02 8.395638521865635140e-02
2.292800000000000011e+02 8.671927577480767479e-02
2.297400000000000091e+02 8.970560662406085184e-02
2.302100000000000080e+02 9.255326322793519522e-02
2.306699999999999875e+02 9.565708789786332711e-02
2.311399999999999864e+02 9.899829379369110005e-02
2.315999999999999943e+02 1.023730586033693574e-01
2.320699999999999932e+02 1.058002569618090999e-01
2.325300000000000011e+02 1.091681779435626776e-01
2.330000000000000000e+02 1.127971959226830162e-01
2.334600000000000080e+02 1.164371240421960829e-01
2.339300000000000068e+02 1.201772451588452167e-01
2.343899999999999864e+02 1.239096987107317915e-01
2.348600000000000136e+02 1.277998394925958237e-01
2.353199999999999932e+02 1.318758862069023541e-01
2.357899999999999920e+02 1.360641812687398700e-01
2.362500000000000000e+02 1.406227108319062780e-01
2.367199999999999989e+02 1.448624449194265695e-01
2.371800000000000068e+02 1.489638414332470073e-01
2.376500000000000057e+02 1.534778152476367341e-01
2.381100000000000136e+02 1.580048480329349359e-01
2.385800000000000125e+02 1.629259902864148846e-01
2.390399999999999920e+02 1.677951019054915727e-01
2.395099999999999909e+02 1.723405681572764692e-01
2.399699999999999989e+02 1.774956253678683649e-01
2.404399999999999977e+02 1.829852856820843310e-01
2.409000000000000057e+02 1.885151322943112717e-01
2.413600000000000136e+02 1.939353893844364962e-01
2.418300000000000125e+02 1.996657635747606241e-01
2.422899999999999920e+02 2.058439030421629901e-01
2.427599999999999909e+02 2.119733839718512536e-01
2.432199999999999989e+02 2.181695772451451298e-01
2.436800000000000068e+02 2.246382560703680531e-01
2.441500000000000057e+02 2.307591508037857286e-01
2.446100000000000136e+02 2.376480913660642957e-01
2.450800000000000125e+02 2.445489787405995818e-01
2.455399999999999920e+02 2.518593814996810676e-01
2.460000000000000000e+02 2.585034621210282046e-01
2.464699999999999989e+02 2.658316601439654203e-01
2.469300000000000068e+02 2.738338348662482935e-01
2.474000000000000057e+02 2.814302521802137247e-01
2.478600000000000136e+02 2.894298593183558532e-01
2.483199999999999932e+02 2.967090133462426116e-01
2.487899999999999920e+02 3.046270505331475364e-01
2.492500000000000000e+02 3.124931156680841315e-01
2.497100000000000080e+02 3.208259017911785915e-01
2.501800000000000068e+02 3.287865642936187438e-01
2.506399999999999864e+02 3.370948116821453899e-01
2.510999999999999943e+02 3.459765073038360561e-01
2.515699999999999932e+02 3.547513829358984183e-01
2.520300000000000011e+02 3.640285949240361640e-01
2.524900000000000091e+02 3.734584966462094480e-01
2.529600000000000080e+02 3.835728540287641208e-01
2.534199999999999875e+02 3.926439639867563836e-01
2.538799999999999955e+02 4.034697478001409987e-01
2.543499999999999943e+02 4.151709721991854174e-01
2.548100000000000023e+02 4.268955196035628119e-01
2.552700000000000102e+02 4.387941282814168953e-01
2.557299999999999898e+02 4.511000354195967010e-01
2.561999999999999886e+02 4.634123532627547615e-01
2.566600000000000250e+02 4.745853888063053527e-01
2.571200000000000045e+02 4.867629244242950293e-01
2.575799999999999841e+02 4.984121625557190738e-01
2.580500000000000114e+02 5.109399556490406002e-01
2.585099999999999909e+02 5.232417087055059035e-01
2.589700000000000273e+02 5.349332781585688368e-01
2.594300000000000068e+02 5.475839721803965610e-01
2.598999999999999773e+02 5.610003196811068626e-01
2.603600000000000136e+02 5.731810723639158001e-01
2.608199999999999932e+02 5.858017609801129399e-01
2.612799999999999727e+02 5.993506099858402214e-01
2.617500000000000000e+02 6.131791392756139603e-01
2.622099999999999795e+02 6.273893508761484439e-01
2.626700000000000159e+02 6.421428325262020786e-01
2.631299999999999955e+02 6.583376515245087379e-01
2.636000000000000227e+02 6.744110287306959162e-01
2.640600000000000023e+02 6.903010318183635530e-01
2.645199999999999818e+02 7.056612454266856238e-01
2.649800000000000182e+02 7.228692501762974398e-01
2.654399999999999977e+02 7.374994675244146425e-01
2.658999999999999773e+02 7.556140498920557169e-01
2.663700000000000045e+02 7.744480692180928383e-01
2.668299999999999841e+02 7.912396471798623931e-01
2.672900000000000205e+02 8.101965110209001786e-01
2.677500000000000000e+02 8.284923533742036827e-01
2.682099999999999795e+02 8.471820740743273292e-01
2.686700000000000159e+02 8.677886579415029500e-01
2.691399999999999864e+02 8.864176657140374616e-01
2.696000000000000227e+02 9.064371087795258797e-01
2.700600000000000023e+02 9.274206113119387584e-01
2.705199999999999818e+02 9.477125431115233090e-01
2.709800000000000182e+02 9.697426314473081010e-01
2.714399999999999977e+02 9.917750357681376361e-01
2.718999999999999773e+02 1.014155276359962388e+00
2.723700000000000045e+02 1.034778101259004268e+00
2.728299999999999841e+02 1.056764893329804389e+00
2.732900000000000205e+02 1.079417783514148077e+00
2.737500000000000000e+02 1.100998349594545234e+00
2.742099999999999795e+02 1.124508610928625085e+00
2.746700000000000159e+02 1.146693731153110241e+00
2.751299999999999955e+02 1.171489499597990536e+00
2.755899999999999750e+02 1.193155541656409913e+00
2.760500000000000114e+02 1.216002214571745510e+00
2.765099999999999909e+02 1.241816263574983425e+00
2.769700000000000273e+02 1.267561250107137161e+00
2.774300000000000068e+02 1.293427964414613607e+00
2.778999999999999773e+02 1.318283849204622493e+00
2.783600000000000136e+02 1.344154415156576077e+00
2.788199999999999932e+02 1.374963327835426741e+00
2.792799999999999727e+02 1.401479950957284615e+00
2.797400000000000091e+02 1.430403180453361456e+00
2.801999999999999886e+02 1.460500780068071602e+00
2.806600000000000250e+02 1.491172977956049195e+00
2.811200000000000045e+02 1.520056974299342389e+00
2.815799999999999841e+02 1.551726253815809420e+00
2.820400000000000205e+02 1.586122571509796186e+00
2.825000000000000000e+02 1.616125910855158665e+00
2.829599999999999795e+02 1.646996815501963640e+00
2.834200000000000159e+02 1.680378046940351089e+00
2.838799999999999955e+02 1.714648521125327063e+00
2.843399999999999750e+02 1.745166041804172563e+00
2.848000000000000114e+02 1.779959912153670443e+00
2.852599999999999909e+02 1.811910371398979924e+00
2.857200000000000273e+02 1.846409408520139017e+00
2.861800000000000068e+02 1.876856229351204552e+00
2.866399999999999864e+02 1.910937018896960771e+00
2.871000000000000227e+02 1.944878871363577622e+00
2.875600000000000023e+02 1.978225663463908157e+00
2.880199999999999818e+02 2.013870467539705889e+00
2.884800000000000182e+02 2.049961419149151975e+00
2.889399999999999977e+02 2.088684260961764405e+00
2.893899999999999864e+02 2.126700142757517842e+00
2.898500000000000227e+02 2.168297426606186296e+00
2.903100000000000023e+02 2.210762177559426167e+00
2.907699999999999818e+02 2.254207273299763781e+00
2.912300000000000182e+02 2.299460667949027481e+00
2.916899999999999977e+02 2.340188662056434943e+00
2.921499999999999773e+02 2.385592658707152758e+00
2.926100000000000136e+02 2.432288651448784034e+00
2.930699999999999932e+02 2.478527171910832827e+00
2.935299999999999727e+02 2.519894456243251923e+00
2.939900000000000091e+02 2.566579399797652261e+00
2.944399999999999977e+02 2.604348138947957025e+00
2.948999999999999773e+02 2.653726916737020325e+00
2.953600000000000136e+02 2.694698122413765606e+00
2.958199999999999932e+02 2.746032473886925285e+00
2.962799999999999727e+02 2.789649664478856650e+00
2.967400000000000091e+02 2.836616705282371420e+00
2.971999999999999886e+02 2.884099221392529167e+00
2.976600000000000250e+02 2.936784702017932069e+00
2.981100000000000136e+02 2.979258570396581263e+00
2.985699999999999932e+02 3.028582316286651643e+00
2.990299999999999727e+02 3.079379765379849587e+00
2.994900000000000091e+02 3.133459792516839038e+00
2.999499999999999886e+02 3.186392322342049610e+00
3.004100000000000250e+02 3.241064004904174123e+00
3.008600000000000136e+02 3.292333155212436857e+00
3.013199999999999932e+02 3.345894691861845072e+00
3.017799999999999727e+02 3.399122051891453999e+00
3.022400000000000091e+02 3.457544565953330373e+00
3.026999999999999886e+02 3.512825241243894503e+00
3.031499999999999773e+02 3.577076824205038363e+00
3.036100000000000136e+02 3.636657287240559810e+00
3.040699999999999932e+02 3.699364458618916274e+00
3.045299999999999727e+02 3.752467160149119518e+00
3.049900000000000091e+02 3.821413197018983077e+00
3.054399999999999977e+02 3.886148179311307072e+00
3.058999999999999773e+02 3.951193110221871141e+00
3.063600000000000136e+02 4.017955206867323881e+00
3.068199999999999932e+02 4.084063102371795928e+00
3.072699999999999818e+02 4.139948404947926264e+00
3.077300000000000182e+02 4.205839555857265211e+00
3.081899999999999977e+02 4.277714922065699810e+00
3.086499999999999773e+02 4.341270358876542446e+00
3.091000000000000227e+02 4.404507222268771116e+00
3.095600000000000023e+02 4.466980747288296527e+00
3.100199999999999818e+02 4.537054907777942958e+00
3.104800000000000182e+02 4.605068328409759104e+00
3.109300000000000068e+02 4.671149865120303168e+00
3.113899999999999864e+02 4.737844467441987284e+00
3.118500000000000227e+02 4.805066455399823688e+00
3.123000000000000114e+02 4.879038404281601515e+00
3.127599999999999909e+02 4.939147969979160280e+00
3.132200000000000273e+02 5.009316234229628684e+00
3.136700000000000159e+02 5.077306491190177518e+00
3.141299999999999955e+02 5.155824276386328897e+00
3.145899999999999750e+02 5.230943519222387650e+00
3.150400000000000205e+02 5.309596711880062436e+00
3.155000000000000000e+02 5.397145179710467922e+00
3.159599999999999795e+02 5.471167077832528314e+00
3.164100000000000250e+02 5.546300921499523362e+00
3.168700000000000045e+02 5.620517164970138424e+00
3.173299999999999841e+02 5.698681499252688631e+00
3.177799999999999727e+02 5.765122376158811512e+00
3.182400000000000091e+02 5.839195246107906634e+00
3.186999999999999886e+02 5.916271958600735736e+00
3.191499999999999773e+02 5.990647261498094345e+00
3.196100000000000136e+02 6.053808204677715743e+00
3.200600000000000023e+02 6.114591117716827284e+00
3.205199999999999818e+02 6.178777377950173566e+00
3.209800000000000182e+02 6.245168164264645938e+00
3.214300000000000068e+02 6.319681838636642901e+00
3.218899999999999864e+02 6.388500935503798495e+00
3.223399999999999750e+02 6.457488573505063556e+00
3.228000000000000114e+02 6.520167465532730411e+00
