# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -2.562657435387353730e-02
1.961100000000000136e+02 1.801182897824641152e-02
1.965800000000000125e+02 7.484052856793150035e-03
1.970500000000000114e+02 5.075727828795878645e-03
1.975200000000000102e+02 4.043704730213856791e-03
1.979900000000000091e+02 3.497724311447292234e-03
1.984600000000000080e+02 3.183430177575677367e-03
1.989199999999999875e+02 2.998614787264835928e-03
1.993899999999999864e+02 2.903537291997708870e-03
1.998600000000000136e+02 2.872164971914172808e-03
2.003300000000000125e+02 2.893079291044316909e-03
2.008000000000000114e+02 2.973151817358870089e-03
2.012700000000000102e+02 3.129825919804221646e-03
2.017299999999999898e+02 3.393637409629166220e-03
2.021999999999999886e+02 3.755809918372564338e-03
2.026699999999999875e+02 4.066336136323111909e-03
2.031399999999999864e+02 4.423977554999470804e-03
2.036100000000000136e+02 4.875108891081463350e-03
2.040699999999999932e+02 5.427204267780603823e-03
2.045399999999999920e+02 6.104958324084867188e-03
2.050099999999999909e+02 6.923029325168202942e-03
2.054799999999999898e+02 7.843581901942422302e-03
2.059499999999999886e+02 8.858352283772786412e-03
2.064099999999999966e+02 9.904703928213944020e-03
2.068799999999999955e+02 1.089730668775862679e-02
2.073499999999999943e+02 1.180876140514315088e-02
2.078199999999999932e+02 1.274616412566813121e-02
2.082800000000000011e+02 1.370737072628758907e-02
2.087500000000000000e+02 1.471383889696705610e-02
2.092199999999999989e+02 1.574236704536042045e-02
2.096899999999999977e+02 1.662212455130561081e-02
2.101500000000000057e+02 1.747122883817447611e-02
2.106200000000000045e+02 1.823614637934338825e-02
2.110900000000000034e+02 1.910878168228127491e-02
2.115600000000000023e+02 1.992061544770229800e-02
2.120200000000000102e+02 2.075450604401500240e-02
2.124900000000000091e+02 2.162265509171691288e-02
2.129600000000000080e+02 2.273104568928605018e-02
2.134199999999999875e+02 2.380893949475838822e-02
2.138899999999999864e+02 2.483836222641992719e-02
2.143600000000000136e+02 2.589591850605395956e-02
2.148300000000000125e+02 2.689433970489644998e-02
2.152899999999999920e+02 2.789699314331699209e-02
2.157599999999999909e+02 2.910811808939883089e-02
2.162299999999999898e+02 3.033534218284888659e-02
2.166899999999999977e+02 3.143262692703599481e-02
2.171599999999999966e+02 3.283186877682325866e-02
2.176299999999999955e+02 3.404537717664293112e-02
2.180900000000000034e+02 3.524312049055648710e-02
2.185600000000000023e+02 3.645645387024752659e-02
2.190300000000000011e+02 3.778536078127989889e-02
2.194900000000000091e+02 3.941888995503819992e-02
2.199600000000000080e+02 4.082827106486197621e-02
2.204199999999999875e+02 4.229374235080490818e-02
2.208899999999999864e+02 4.367674830063182634e-02
2.213600000000000136e+02 4.563592656386454560e-02
2.218199999999999932e+02 4.734209728414810747e-02
2.222899999999999920e+02 4.926423602715110373e-02
2.227599999999999909e+02 5.102662447394716583e-02
2.232199999999999989e+02 5.269935895265007858e-02
2.236899999999999977e+02 5.466035202112012881e-02
2.241500000000000057e+02 5.692798353255842936e-02
2.246200000000000045e+02 5.916192796086308658e-02
2.250900000000000034e+02 6.157131702988969529e-02
