# Python obtained correction file
# LS-1-CAL lamp,the USB2000+ 1 Drybox and using the PMA12-NIR spectrometer as reference
# Wavelength(nm)	Corr.Factor
2.640600000000000023e+02 0.000000000000000000e+00
2.645199999999999818e+02 0.000000000000000000e+00
2.649900000000000091e+02 0.000000000000000000e+00
2.654499999999999886e+02 0.000000000000000000e+00
2.659200000000000159e+02 0.000000000000000000e+00
2.663799999999999955e+02 0.000000000000000000e+00
2.668500000000000227e+02 0.000000000000000000e+00
2.673100000000000023e+02 0.000000000000000000e+00
2.677799999999999727e+02 0.000000000000000000e+00
2.682400000000000091e+02 0.000000000000000000e+00
2.686999999999999886e+02 0.000000000000000000e+00
2.691700000000000159e+02 0.000000000000000000e+00
2.696299999999999955e+02 0.000000000000000000e+00
2.701000000000000227e+02 0.000000000000000000e+00
2.705600000000000023e+02 0.000000000000000000e+00
2.710199999999999818e+02 0.000000000000000000e+00
2.714900000000000091e+02 0.000000000000000000e+00
2.719499999999999886e+02 0.000000000000000000e+00
2.724200000000000159e+02 0.000000000000000000e+00
2.728799999999999955e+02 0.000000000000000000e+00
2.733399999999999750e+02 0.000000000000000000e+00
2.738100000000000023e+02 0.000000000000000000e+00
2.742699999999999818e+02 0.000000000000000000e+00
2.747400000000000091e+02 0.000000000000000000e+00
2.751999999999999886e+02 0.000000000000000000e+00
2.756600000000000250e+02 0.000000000000000000e+00
2.761299999999999955e+02 0.000000000000000000e+00
2.765899999999999750e+02 0.000000000000000000e+00
2.770500000000000114e+02 0.000000000000000000e+00
2.775199999999999818e+02 0.000000000000000000e+00
2.779800000000000182e+02 0.000000000000000000e+00
2.784399999999999977e+02 0.000000000000000000e+00
2.789100000000000250e+02 0.000000000000000000e+00
2.793700000000000045e+02 0.000000000000000000e+00
2.798299999999999841e+02 0.000000000000000000e+00
2.803000000000000114e+02 0.000000000000000000e+00
2.807599999999999909e+02 0.000000000000000000e+00
2.812200000000000273e+02 0.000000000000000000e+00
2.816800000000000068e+02 0.000000000000000000e+00
2.821499999999999773e+02 0.000000000000000000e+00
2.826100000000000136e+02 0.000000000000000000e+00
2.830699999999999932e+02 0.000000000000000000e+00
2.835400000000000205e+02 0.000000000000000000e+00
2.840000000000000000e+02 0.000000000000000000e+00
2.844599999999999795e+02 0.000000000000000000e+00
2.849200000000000159e+02 0.000000000000000000e+00
2.853899999999999864e+02 0.000000000000000000e+00
2.858500000000000227e+02 0.000000000000000000e+00
2.863100000000000023e+02 0.000000000000000000e+00
2.867699999999999818e+02 0.000000000000000000e+00
2.872400000000000091e+02 0.000000000000000000e+00
2.876999999999999886e+02 0.000000000000000000e+00
2.881600000000000250e+02 0.000000000000000000e+00
2.886200000000000045e+02 0.000000000000000000e+00
2.890899999999999750e+02 0.000000000000000000e+00
2.895500000000000114e+02 0.000000000000000000e+00
2.900099999999999909e+02 0.000000000000000000e+00
2.904700000000000273e+02 0.000000000000000000e+00
2.909300000000000068e+02 0.000000000000000000e+00
2.913999999999999773e+02 0.000000000000000000e+00
2.918600000000000136e+02 0.000000000000000000e+00
2.923199999999999932e+02 0.000000000000000000e+00
2.927799999999999727e+02 0.000000000000000000e+00
2.932400000000000091e+02 0.000000000000000000e+00
2.936999999999999886e+02 0.000000000000000000e+00
2.941700000000000159e+02 0.000000000000000000e+00
2.946299999999999955e+02 0.000000000000000000e+00
2.950899999999999750e+02 0.000000000000000000e+00
2.955500000000000114e+02 0.000000000000000000e+00
2.960099999999999909e+02 0.000000000000000000e+00
2.964700000000000273e+02 0.000000000000000000e+00
2.969399999999999977e+02 0.000000000000000000e+00
2.973999999999999773e+02 0.000000000000000000e+00
2.978600000000000136e+02 0.000000000000000000e+00
2.983199999999999932e+02 0.000000000000000000e+00
2.987799999999999727e+02 0.000000000000000000e+00
2.992400000000000091e+02 0.000000000000000000e+00
2.996999999999999886e+02 0.000000000000000000e+00
3.001600000000000250e+02 0.000000000000000000e+00
3.006299999999999955e+02 0.000000000000000000e+00
3.010899999999999750e+02 0.000000000000000000e+00
3.015500000000000114e+02 0.000000000000000000e+00
3.020099999999999909e+02 0.000000000000000000e+00
3.024700000000000273e+02 0.000000000000000000e+00
3.029300000000000068e+02 0.000000000000000000e+00
3.033899999999999864e+02 0.000000000000000000e+00
3.038500000000000227e+02 0.000000000000000000e+00
3.043100000000000023e+02 0.000000000000000000e+00
3.047699999999999818e+02 0.000000000000000000e+00
3.052300000000000182e+02 0.000000000000000000e+00
3.056899999999999977e+02 0.000000000000000000e+00
3.061499999999999773e+02 0.000000000000000000e+00
3.066200000000000045e+02 0.000000000000000000e+00
3.070799999999999841e+02 0.000000000000000000e+00
3.075400000000000205e+02 0.000000000000000000e+00
3.080000000000000000e+02 0.000000000000000000e+00
3.084599999999999795e+02 0.000000000000000000e+00
3.089200000000000159e+02 0.000000000000000000e+00
3.093799999999999955e+02 0.000000000000000000e+00
3.098399999999999750e+02 0.000000000000000000e+00
3.103000000000000114e+02 0.000000000000000000e+00
