# Python obtained correction filetaking OLED as reference
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 -7.440048712026644750e+00
1.961100000000000136e+02 -4.490053150865853837e+01
1.965800000000000125e+02 1.267722356282807539e+01
1.970500000000000114e+02 5.916467198170092701e+00
1.975200000000000102e+02 4.029518043819870776e+00
1.979900000000000091e+02 3.160413449661369611e+00
1.984600000000000080e+02 2.674466713506503890e+00
1.989199999999999875e+02 2.376084580908757182e+00
1.993899999999999864e+02 2.185500387110103748e+00
1.998600000000000136e+02 2.064563680744035956e+00
2.003300000000000125e+02 1.993233900211555998e+00
2.008000000000000114e+02 1.960533850617331986e+00
2.012700000000000102e+02 1.960598969497516109e+00
2.017299999999999898e+02 1.990818993437126538e+00
2.021999999999999886e+02 2.050954616240428852e+00
2.026699999999999875e+02 2.142767493211608532e+00
2.031399999999999864e+02 2.211656866203890459e+00
2.036100000000000136e+02 2.334017706611575260e+00
2.040699999999999932e+02 2.516674854179166143e+00
2.045399999999999920e+02 2.791349453399448066e+00
2.050099999999999909e+02 2.981169314863209241e+00
2.054799999999999898e+02 3.195588917311453336e+00
2.059499999999999886e+02 3.468061963322162988e+00
2.064099999999999966e+02 3.828631129563403235e+00
2.068799999999999955e+02 4.257295810000380598e+00
2.073499999999999943e+02 4.733174829885171242e+00
2.078199999999999932e+02 5.177008093783034504e+00
2.082800000000000011e+02 5.452862471245802922e+00
2.087500000000000000e+02 5.547717517569423329e+00
2.092199999999999989e+02 5.581082890545603803e+00
2.096899999999999977e+02 5.512198664879718102e+00
2.101500000000000057e+02 5.419810026756628929e+00
2.106200000000000045e+02 5.373466763872818852e+00
2.110900000000000034e+02 5.238497536445402503e+00
2.115600000000000023e+02 5.025848876303208534e+00
2.120200000000000102e+02 4.708875142681857362e+00
2.124900000000000091e+02 4.522019279082202026e+00
2.129600000000000080e+02 4.509350225973935089e+00
2.134199999999999875e+02 4.395080858862305817e+00
2.138899999999999864e+02 4.334645398747301037e+00
2.143600000000000136e+02 4.211684088345244881e+00
2.148300000000000125e+02 4.196957988061805978e+00
2.152899999999999920e+02 4.209097207494846060e+00
2.157599999999999909e+02 4.093505429276233620e+00
2.162299999999999898e+02 3.978383969863697356e+00
2.166899999999999977e+02 3.946475181303569890e+00
2.171599999999999966e+02 3.870906220853143065e+00
2.176299999999999955e+02 3.813369706466100073e+00
2.180900000000000034e+02 3.748046410016643293e+00
2.185600000000000023e+02 3.752264469233422162e+00
2.190300000000000011e+02 3.682715112660499113e+00
