# Python obtained correction file
#  T = 2945 K
# Wavelength(nm)	Corr.Factor
1.956399999999999864e+02 5.919145389153497583e-02
1.961100000000000136e+02 9.079905199356700513e-03
1.965800000000000125e+02 5.350497216704646480e-03
1.970500000000000114e+02 4.017018301191791797e-03
1.975200000000000102e+02 3.357390048894725101e-03
1.979900000000000091e+02 2.984446679956006838e-03
1.984600000000000080e+02 2.763113691908013723e-03
1.989199999999999875e+02 2.632054560978753024e-03
1.993899999999999864e+02 2.567596074213074602e-03
1.998600000000000136e+02 2.551944732107519574e-03
2.003300000000000125e+02 2.577452336220204063e-03
2.008000000000000114e+02 2.659122990436667017e-03
2.012700000000000102e+02 2.814853808320863775e-03
2.017299999999999898e+02 3.064404556883434504e-03
2.021999999999999886e+02 3.378407385300135918e-03
2.026699999999999875e+02 3.630061781972995436e-03
2.031399999999999864e+02 3.907584244300306084e-03
2.036100000000000136e+02 4.225066123671082467e-03
2.040699999999999932e+02 4.588939323009751103e-03
2.045399999999999920e+02 5.007342814462458977e-03
2.050099999999999909e+02 5.469057493800812131e-03
2.054799999999999898e+02 5.967465229413600018e-03
2.059499999999999886e+02 6.479059157739711604e-03
2.064099999999999966e+02 6.965467839858020295e-03
2.068799999999999955e+02 7.427101265587399484e-03
2.073499999999999943e+02 7.871738490315777215e-03
2.078199999999999932e+02 8.341850823583515234e-03
2.082800000000000011e+02 8.805589270604020913e-03
2.087500000000000000e+02 9.300734446764704830e-03
2.092199999999999989e+02 9.776516661812921158e-03
2.096899999999999977e+02 1.027261797874139126e-02
2.101500000000000057e+02 1.071224636681805675e-02
2.106200000000000045e+02 1.120854679238916449e-02
2.110900000000000034e+02 1.172275328804326701e-02
2.115600000000000023e+02 1.222718737853352271e-02
2.120200000000000102e+02 1.275583202396762122e-02
2.124900000000000091e+02 1.330256721439868409e-02
2.129600000000000080e+02 1.388654572752028200e-02
2.134199999999999875e+02 1.446730954673257873e-02
2.138899999999999864e+02 1.503658108267653948e-02
2.143600000000000136e+02 1.566827207610328732e-02
2.148300000000000125e+02 1.626226750645886829e-02
